Caplet prices under terminal measure - euler approximation;;;;;;;
;;;;;;;
Number of simulations;50000;;;;;;
;;;;;;;
index;Black Price;MC Price (Euler);CI width (Euler);Relative error (Euler);MC Price (PC);CI width (PC);Relative error (PC)
1;0.000582668;0.000584811;1.25647e-005;0.00367728;0.000574041;1.23068e-005;0.0148065
2;0.000695439;0.000691825;1.50631e-005;0.00519672;0.000691503;1.51518e-005;0.00565881
3;0.000684025;0.000676846;1.4604e-005;0.0104948;0.000673803;1.45955e-005;0.0149443
4;0.000590685;0.000586601;1.24343e-005;0.00691518;0.000591291;1.25525e-005;0.00102558
