Caplet prices under terminal measure - euler approximation;;;;;;;
;;;;;;;
Number of simulations;50000;;;;;;
;;;;;;;
index;Black Price;MC Price (Euler);CI width (Euler);Relative error (Euler);MC Price (PC);CI width (PC);Relative error (PC)
1;0.000582668;0.000583538;1.24957e-005;0.0014941;0.000577022;1.22892e-005;0.00968934
2;0.000695439;0.000686577;1.49435e-005;0.0127426;0.000688768;1.4968e-005;0.00959249
3;0.000684025;0.000686791;1.46429e-005;0.00404348;0.000680093;1.4647e-005;0.00574772
4;0.000590685;0.000589974;1.24202e-005;0.00120482;0.000593253;1.25603e-005;0.00434726
