Info,,LIBOR 6M,,Vol Black,,,,Year,Month,Date,,,,,,,,,,,,,,,,,,,,,,,
,,EUR,Mid,,EUR BVOL CUB,,,2012,4,4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#######,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIBOR_DF,6 MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 MO,7 MO,8 MO,9 MO,10 MO,11 MO,1 YR,13 MO,14 MO,15 MO,16 MO,17 MO,18 MO,2 YR,3 YR,4 YR,5 YR,6 YR,7 YR,8 YR,9 YR,10 YR,11 YR,12 YR,15 YR,20 YR,25 YR,30 YR,35 YR,40 YR,45 YR,50 YR,,
0.994605,0.993721,0.992969,0.992121,0.991268,0.990524,0.989762,0.988922,0.988051,0.987198,0.986242,0.98541,0.984532,0.978793,0.964927,0.946743,0.9248,0.900024,0.874497,0.84629,0.820292,0.79297,0.766753,0.740512,0.670443,0.581064,0.516076,0.462184,0.413512,0.363207,0.321623,0.281885,,
#########,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SwaptionVol,ATM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expiry,,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr,,,,,,,,,,,,,,,,,
1Mo,Vol,29.99,35.8,38.9,38.3,37.45,34.6,32.65,31.15,30.15,29.45,28.32,26.5,26.7,27.5,28.4,,,,,,,,,,,,,,,,,
,Strike,1.01,1.08,1.21,1.39,1.58,1.77,1.93,2.08,2.19,2.3,2.47,2.62,2.67,2.63,2.59,,,,,,,,,,,,,,,,,
3Mo,Vol,31.67,37.6,41.2,41.9,41.4,38,35.55,33.9,32.75,31.95,30.66,28.6,28.3,29.2,30.05,,,,,,,,,,,,,,,,,
,Strike,1,1.1,1.24,1.43,1.63,1.82,1.97,2.12,2.23,2.34,2.5,2.64,2.69,2.64,2.6,,,,,,,,,,,,,,,,,
6Mo,Vol,39.7,40.65,41.55,40.55,40.7,37.65,35.55,34.2,33.3,32.65,31.48,29.6,29.8,30.65,31.55,,,,,,,,,,,,,,,,,
,Strike,1.02,1.15,1.32,1.52,1.72,1.9,2.05,2.19,2.3,2.4,2.55,2.68,2.71,2.66,2.61,,,,,,,,,,,,,,,,,
9Mo,Vol,42.52,42.61,41.62,40.09,39.74,36.99,35.14,33.97,33.17,32.62,31.48,29.73,29.9,30.78,31.63,,,,,,,,,,,,,,,,,
,Strike,1.06,1.21,1.4,1.61,1.81,1.98,2.14,2.26,2.37,2.46,2.6,2.71,2.74,2.69,2.63,,,,,,,,,,,,,,,,,
1Yr,Vol,45.31,44.55,41.7,39.65,38.8,36.35,34.75,33.75,33.05,32.6,31.5,29.85,30,30.9,31.7,,,,,,,,,,,,,,,,,
