Info,,LIBOR 6M,,Vol Black,,,,Year,Month,Date,,,,,,,,,,,,,,,,,,,,,,,
,,EUR,Mid,,EUR BVOL CUB,,,2012,4,4,,,,,,,,,,,,,,,,,,,,,,,
,Strike,1.12,1.28,1.48,1.7,1.9,2.06,2.22,2.33,2.44,2.53,2.66,2.75,2.76,2.71,2.65,,,,,,,,,,,,,,,,,
2Yr,Vol,48.39,43.25,39.8,36.85,36.15,34.65,33.35,32.25,31.4,30.7,29.9,28.7,28.9,29.8,30.55,,,,,,,,,,,,,,,,,
,Strike,1.44,1.67,1.9,2.11,2.26,2.42,2.52,2.63,2.7,2.78,2.86,2.89,2.86,2.78,2.72,,,,,,,,,,,,,,,,,
3Yr,Vol,42.92,38.95,35.75,33.3,32.65,31.45,30.5,29.8,29.2,28.75,28.09,27.25,28,29,29.65,,,,,,,,,,,,,,,,,
,Strike,1.91,2.14,2.34,2.48,2.63,2.72,2.81,2.88,2.95,2.98,3.04,3.01,2.94,2.84,2.77,,,,,,,,,,,,,,,,,
4Yr,Vol,36.5,33.8,31.85,30.6,29.35,28.8,28.05,27.6,27,27.15,26.71,26.15,26.9,28,28.7,,,,,,,,,,,,,,,,,
,Strike,2.37,2.56,2.68,2.82,2.89,2.98,3.03,3.09,3.11,3.13,3.14,3.1,2.99,2.88,2.8,,,,,,,,,,,,,,,,,
5Yr,Vol,31.83,29.5,28.35,27.85,27.05,26.55,26.15,25.8,25.65,25.55,25.35,25,25.75,27.25,27.95,,,,,,,,,,,,,,,,,
,Strike,2.75,2.83,2.98,3.03,3.11,3.16,3.21,3.22,3.23,3.25,3.2,3.15,3,2.89,2.81,,,,,,,,,,,,,,,,,
6Yr,Vol,29.01,27.47,26.8,26.26,25.59,25.2,25.11,24.96,24.92,25.01,24.89,24.71,25.39,26.59,27.12,,,,,,,,,,,,,,,,,
,Strike,2.92,3.1,3.13,3.21,3.25,3.29,3.29,3.3,3.31,3.28,3.23,3.15,2.99,2.88,2.81,,,,,,,,,,,,,,,,,
7Yr,Vol,25.75,25.7,25.2,24.75,24.15,23.95,24.1,24.15,24.3,24.5,24.46,24.45,25.05,25.95,26.3,,,,,,,,,,,,,,,,,
,Strike,3.29,3.24,3.31,3.34,3.38,3.37,3.37,3.37,3.33,3.29,3.23,3.13,2.97,2.86,2.8,,,,,,,,,,,,,,,,,
8Yr,Vol,25.13,24.63,24.26,23.9,23.59,23.49,23.67,23.91,24.09,24.43,24.33,24.29,24.87,25.57,25.76,,,,,,,,,,,,,,,,,
,Strike,3.19,3.32,3.35,3.4,3.38,3.38,3.38,3.33,3.29,3.26,3.21,3.08,2.92,2.81,2.77,,,,,,,,,,,,,,,,,
9Yr,Vol,23.86,23.5,23.17,23.1,22.98,22.98,23.31,23.64,23.86,24.33,24.24,24.12,24.69,25.19,25.21,,,,,,,,,,,,,,,,,
,Strike,3.45,3.44,3.47,3.43,3.42,3.42,3.35,3.3,3.26,3.23,3.15,3.03,2.87,2.78,2.75,,,,,,,,,,,,,,,,,
10Yr,Vol,23.13,22.5,22.4,22.4,22.45,22.7,23.05,23.45,23.7,24.3,24.22,24,24.55,24.85,24.7,,,,,,,,,,,,,,,,,
,Strike,3.42,3.49,3.43,3.41,3.41,3.34,3.28,3.24,3.2,3.18,3.07,2.96,2.81,2.72,2.71,,,,,,,,,,,,,,,,,
12Yr,Vol,22.84,22.71,22.67,23.08,23.4,23.72,24.12,24.43,24.66,25.31,25.08,24.67,24.68,24.4,24.11,,,,,,,,,,,,,,,,,
,Strike,3.3,3.33,3.36,3.25,3.19,3.14,3.11,3.09,3.03,2.97,2.89,2.79,2.67,2.63,2.62,,,,,,,,,,,,,,,,,
15Yr,Vol,22.86,23.45,23.85,24.35,24.7,25.3,25.9,26.2,26.25,26.8,26.36,25.65,24.85,23.7,23.2,,,,,,,,,,,,,,,,,
,Strike,2.91,2.91,2.91,2.9,2.9,2.84,2.78,2.74,2.7,2.67,2.61,2.54,2.48,2.5,2.5,,,,,,,,,,,,,,,,,
20Yr,Vol,26.35,26.95,27.3,27.55,27.85,28.1,28.3,28.5,28.55,28.6,27.47,25.8,23.65,22.65,21.75,,,,,,,,,,,,,,,,,
,Strike,2.46,2.44,2.43,2.42,2.41,2.39,2.37,2.35,2.34,2.32,2.32,2.3,2.37,2.38,2.42,,,,,,,,,,,,,,,,,
25Yr,Vol,28.71,29.25,29.35,29.3,29.15,28.95,28.85,28.75,28.55,28.35,26.71,24.4,22.45,20.9,20.6,,,,,,,,,,,,,,,,,
,Strike,2.28,2.27,2.26,2.24,2.23,2.24,2.25,2.25,2.24,2.24,2.3,2.36,2.38,2.42,2.3,,,,,,,,,,,,,,,,,
30Yr,Vol,28.24,26.55,26.25,25.95,25.55,25.35,25.35,25.55,25.55,25.6,24.25,22.25,20.55,19.85,19.05,,,,,,,,,,,,,,,,,
,Strike,2.29,2.28,2.27,2.26,2.25,2.32,2.36,2.39,2.41,2.43,2.44,2.44,2.49,2.32,2.19,,,,,,,,,,,,,,,,,
#######,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SwaptionVol,ATM,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expiry,,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr,,,,,,,,,,,,,,,,,
1Mo,Vol,30.13,35.96,39.06,38.44,37.57,34.7,32.73,31.22,30.22,29.51,28.38,26.55,26.75,27.55,28.45,,,,,,,,,,,,,,,,,
,Strike,1.06,1.13,1.26,1.44,1.63,1.82,1.98,2.13,2.24,2.35,2.52,2.67,2.72,2.68,2.64,,,,,,,,,,,,,,,,,
3Mo,Vol,31.82,37.76,41.36,42.04,41.52,38.1,35.64,33.98,32.82,32.01,30.72,28.65,28.35,29.25,30.1,,,,,,,,,,,,,,,,,
,Strike,1.05,1.15,1.29,1.48,1.68,1.87,2.02,2.17,2.28,2.39,2.55,2.69,2.74,2.69,2.65,,,,,,,,,,,,,,,,,
6Mo,Vol,39.88,40.81,41.69,40.67,40.81,37.74,35.63,34.27,33.36,32.71,31.53,29.65,29.85,30.7,31.6,,,,,,,,,,,,,,,,,
,Strike,1.07,1.2,1.37,1.57,1.77,1.95,2.1,2.24,2.35,2.45,2.6,2.73,2.76,2.71,2.66,,,,,,,,,,,,,,,,,
9Mo,Vol,42.59,42.68,41.68,40.14,39.78,37.03,35.18,34,33.2,32.65,31.51,29.75,29.92,30.8,31.65,,,,,,,,,,,,,,,,,
,Strike,1.11,1.26,1.45,1.66,1.86,2.03,2.19,2.31,2.42,2.51,2.65,2.76,2.79,2.74,2.68,,,,,,,,,,,,,,,,,
1Yr,Vol,45.29,44.54,41.69,39.64,38.79,36.34,34.74,33.75,33.05,32.6,31.49,29.85,30,30.9,31.7,,,,,,,,,,,,,,,,,
,Strike,1.17,1.33,1.53,1.75,1.95,2.11,2.27,2.38,2.49,2.58,2.71,2.8,2.81,2.76,2.7,,,,,,,,,,,,,,,,,
2Yr,Vol,48.4,43.26,39.81,36.86,36.15,34.65,33.35,32.25,31.4,30.7,29.91,28.7,28.9,29.8,30.55,,,,,,,,,,,,,,,,,
,Strike,1.49,1.72,1.95,2.16,2.31,2.47,2.57,2.68,2.75,2.83,2.91,2.94,2.91,2.83,2.77,,,,,,,,,,,,,,,,,
3Yr,Vol,42.76,38.82,35.64,33.21,32.56,31.37,30.42,29.73,29.13,28.68,28.03,27.19,27.93,28.93,29.57,,,,,,,,,,,,,,,,,
,Strike,1.96,2.19,2.39,2.53,2.68,2.77,2.86,2.93,3,3.03,3.09,3.06,2.99,2.89,2.82,,,,,,,,,,,,,,,,,
4Yr,Vol,36.33,33.66,31.72,30.48,29.24,28.7,27.95,27.5,26.91,27.06,26.62,26.06,26.8,27.9,28.59,,,,,,,,,,,,,,,,,
,Strike,2.42,2.61,2.73,2.87,2.94,3.03,3.08,3.14,3.16,3.18,3.19,3.15,3.04,2.93,2.85,,,,,,,,,,,,,,,,,
5Yr,Vol,31.7,29.38,28.24,27.75,26.95,26.46,26.06,25.71,25.56,25.46,25.26,24.91,25.65,27.15,27.84,,,,,,,,,,,,,,,,,
,Strike,2.8,2.88,3.03,3.08,3.16,3.21,3.26,3.27,3.28,3.3,3.25,3.2,3.05,2.94,2.86,,,,,,,,,,,,,,,,,
6Yr,Vol,28.9,27.37,26.71,26.17,25.51,25.11,25.03,24.88,24.83,24.92,24.81,24.62,25.29,26.49,27.01,,,,,,,,,,,,,,,,,
,Strike,2.97,3.15,3.18,3.26,3.3,3.34,3.34,3.35,3.36,3.33,3.28,3.2,3.04,2.93,2.86,,,,,,,,,,,,,,,,,
7Yr,Vol,25.67,25.61,25.12,24.67,24.07,23.87,24.02,24.07,24.22,24.42,24.38,24.37,24.96,25.85,26.2,,,,,,,,,,,,,,,,,
,Strike,3.34,3.29,3.36,3.39,3.43,3.42,3.42,3.42,3.38,3.34,3.28,3.18,3.02,2.91,2.85,,,,,,,,,,,,,,,,,
8Yr,Vol,25.04,24.55,24.17,23.81,23.51,23.41,23.58,23.82,24,24.34,24.24,24.19,24.77,25.46,25.65,,,,,,,,,,,,,,,,,
,Strike,3.24,3.37,3.4,3.45,3.43,3.43,3.43,3.38,3.34,3.31,3.26,3.13,2.97,2.86,2.82,,,,,,,,,,,,,,,,,
9Yr,Vol,23.77,23.41,23.08,23,22.89,22.89,23.22,23.54,23.76,24.23,24.14,24.01,24.57,25.07,25.09,,,,,,,,,,,,,,,,,
,Strike,3.5,3.49,3.52,3.48,3.47,3.47,3.4,3.35,3.31,3.28,3.2,3.08,2.92,2.83,2.8,,,,,,,,,,,,,,,,,
10Yr,Vol,23.03,22.41,22.3,22.3,22.35,22.6,22.95,23.34,23.59,24.19,24.1,23.88,24.42,24.72,24.57,,,,,,,,,,,,,,,,,
,Strike,3.47,3.54,3.48,3.46,3.46,3.39,3.33,3.29,3.25,3.23,3.12,3.01,2.86,2.77,2.76,,,,,,,,,,,,,,,,,
12Yr,Vol,22.73,22.6,22.57,22.97,23.29,23.61,24,24.3,24.54,25.18,24.95,24.53,24.54,24.26,23.97,,,,,,,,,,,,,,,,,
,Strike,3.35,3.38,3.41,3.3,3.24,3.19,3.16,3.14,3.08,3.02,2.94,2.84,2.72,2.68,2.67,,,,,,,,,,,,,,,,,
15Yr,Vol,22.74,23.32,23.72,24.22,24.57,25.16,25.75,26.05,26.1,26.64,26.21,25.49,24.69,23.55,23.05,,,,,,,,,,,,,,,,,
,Strike,2.96,2.96,2.96,2.95,2.95,2.89,2.83,2.79,2.75,2.72,2.66,2.59,2.53,2.55,2.55,,,,,,,,,,,,,,,,,
20Yr,Vol,26.18,26.78,27.12,27.37,27.67,27.91,28.11,28.31,28.36,28.41,27.28,25.62,23.49,22.5,21.61,,,,,,,,,,,,,,,,,
,Strike,2.51,2.49,2.48,2.47,2.46,2.44,2.42,2.4,2.39,2.37,2.37,2.35,2.42,2.43,2.47,,,,,,,,,,,,,,,,,
25Yr,Vol,28.51,29.05,29.14,29.09,28.94,28.75,28.65,28.55,28.35,28.15,26.53,24.24,22.3,20.76,20.46,,,,,,,,,,,,,,,,,
,Strike,2.33,2.32,2.31,2.29,2.28,2.29,2.3,2.3,2.29,2.29,2.35,2.41,2.43,2.47,2.35,,,,,,,,,,,,,,,,,
30Yr,Vol,28.05,26.37,26.07,25.77,25.37,25.18,25.18,25.38,25.38,25.43,24.09,22.11,20.42,19.71,18.91,,,,,,,,,,,,,,,,,
,Strike,2.34,2.33,2.32,2.31,2.3,2.37,2.41,2.44,2.46,2.48,2.49,2.49,2.54,2.37,2.24,,,,,,,,,,,,,,,,,
########,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SwaptionVol,ATM,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expiry,,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr,,,,,,,,,,,,,,,,,
1Mo,Vol,29.85,35.64,38.74,38.16,37.33,34.5,32.57,31.08,30.08,29.39,28.26,26.45,26.65,27.45,28.35,,,,,,,,,,,,,,,,,
,Strike,0.96,1.03,1.16,1.34,1.53,1.72,1.88,2.03,2.14,2.25,2.42,2.57,2.62,2.58,2.54,,,,,,,,,,,,,,,,,
3Mo,Vol,31.53,37.44,41.04,41.76,41.28,37.9,35.46,33.82,32.68,31.89,30.6,28.55,28.25,29.15,29.99,,,,,,,,,,,,,,,,,
,Strike,0.95,1.05,1.19,1.38,1.58,1.77,1.92,2.07,2.18,2.29,2.45,2.59,2.64,2.59,2.55,,,,,,,,,,,,,,,,,
6Mo,Vol,39.53,40.49,41.41,40.43,40.59,37.56,35.47,34.13,33.24,32.59,31.42,29.55,29.75,30.6,31.5,,,,,,,,,,,,,,,,,
,Strike,0.97,1.1,1.27,1.47,1.67,1.85,2,2.14,2.25,2.35,2.5,2.63,2.66,2.61,2.56,,,,,,,,,,,,,,,,,
9Mo,Vol,42.44,42.54,41.56,40.04,39.69,36.95,35.11,33.94,33.14,32.6,31.46,29.7,29.88,30.75,31.6,,,,,,,,,,,,,,,,,
,Strike,1.01,1.16,1.35,1.56,1.76,1.93,2.09,2.21,2.32,2.41,2.55,2.66,2.69,2.64,2.58,,,,,,,,,,,,,,,,,
1Yr,Vol,45.32,44.56,41.71,39.66,38.81,36.36,34.75,33.75,33.05,32.6,31.5,29.85,30,30.9,31.7,,,,,,,,,,,,,,,,,
,Strike,1.07,1.23,1.43,1.65,1.85,2.01,2.17,2.28,2.39,2.48,2.61,2.7,2.71,2.66,2.6,,,,,,,,,,,,,,,,,
2Yr,Vol,48.38,43.24,39.79,36.84,36.15,34.65,33.35,32.25,31.4,30.7,29.9,28.7,28.9,29.8,30.55,,,,,,,,,,,,,,,,,
,Strike,1.39,1.62,1.85,2.06,2.21,2.37,2.47,2.58,2.65,2.73,2.81,2.84,2.81,2.73,2.67,,,,,,,,,,,,,,,,,
3Yr,Vol,43.09,39.08,35.86,33.39,32.74,31.53,30.58,29.87,29.27,28.82,28.16,27.31,28.07,29.07,29.73,,,,,,,,,,,,,,,,,
,Strike,1.86,2.09,2.29,2.43,2.58,2.67,2.76,2.83,2.9,2.93,2.99,2.96,2.89,2.79,2.72,,,,,,,,,,,,,,,,,
4Yr,Vol,36.71,33.98,32.02,30.75,29.49,28.94,28.18,27.72,27.12,27.27,26.83,26.27,27.03,28.14,28.84,,,,,,,,,,,,,,,,,
,Strike,2.32,2.51,2.63,2.77,2.84,2.93,2.98,3.04,3.06,3.08,3.09,3.05,2.94,2.83,2.75,,,,,,,,,,,,,,,,,
5Yr,Vol,31.96,29.62,28.46,27.95,27.15,26.64,26.24,25.89,25.74,25.64,25.43,25.09,25.85,27.35,28.06,,,,,,,,,,,,,,,,,
,Strike,2.7,2.78,2.93,2.98,3.06,3.11,3.16,3.17,3.18,3.2,3.15,3.1,2.95,2.84,2.76,,,,,,,,,,,,,,,,,
6Yr,Vol,29.12,27.57,26.9,26.35,25.68,25.28,25.2,25.05,25,25.09,24.98,24.8,25.48,26.69,27.22,,,,,,,,,,,,,,,,,
,Strike,2.87,3.05,3.08,3.16,3.2,3.24,3.24,3.25,3.26,3.23,3.18,3.1,2.94,2.83,2.76,,,,,,,,,,,,,,,,,
7Yr,Vol,25.84,25.79,25.28,24.83,24.23,24.03,24.18,24.23,24.38,24.58,24.55,24.53,25.14,26.05,26.4,,,,,,,,,,,,,,,,,
,Strike,3.24,3.19,3.26,3.29,3.33,3.32,3.32,3.32,3.28,3.24,3.18,3.08,2.92,2.81,2.75,,,,,,,,,,,,,,,,,
8Yr,Vol,25.24,24.72,24.34,23.98,23.68,23.58,23.75,23.99,24.18,24.52,24.42,24.38,24.98,25.68,25.87,,,,,,,,,,,,,,,,,
,Strike,3.14,3.27,3.3,3.35,3.33,3.33,3.33,3.28,3.24,3.21,3.16,3.03,2.87,2.76,2.72,,,,,,,,,,,,,,,,,
9Yr,Vol,23.95,23.59,23.26,23.19,23.07,23.07,23.41,23.74,23.96,24.43,24.34,24.22,24.8,25.31,25.33,,,,,,,,,,,,,,,,,
,Strike,3.4,3.39,3.42,3.38,3.37,3.37,3.3,3.25,3.21,3.18,3.1,2.98,2.82,2.73,2.7,,,,,,,,,,,,,,,,,
10Yr,Vol,23.23,22.59,22.5,22.5,22.55,22.8,23.15,23.56,23.81,24.41,24.33,24.12,24.68,24.98,24.83,,,,,,,,,,,,,,,,,
,Strike,3.37,3.44,3.38,3.36,3.36,3.29,3.23,3.19,3.15,3.13,3.02,2.91,2.76,2.67,2.66,,,,,,,,,,,,,,,,,
12Yr,Vol,22.95,22.82,22.78,23.19,23.51,23.84,24.23,24.55,24.79,25.44,25.21,24.8,24.82,24.54,24.25,,,,,,,,,,,,,,,,,
,Strike,3.25,3.28,3.31,3.2,3.14,3.09,3.06,3.04,2.98,2.92,2.84,2.74,2.62,2.58,2.57,,,,,,,,,,,,,,,,,
15Yr,Vol,22.99,23.58,23.98,24.48,24.83,25.44,26.05,26.35,26.4,26.96,26.52,25.81,25.01,23.85,23.35,,,,,,,,,,,,,,,,,
,Strike,2.86,2.86,2.86,2.85,2.85,2.79,2.73,2.69,2.65,2.62,2.56,2.49,2.43,2.45,2.45,,,,,,,,,,,,,,,,,
20Yr,Vol,26.52,27.12,27.48,27.73,28.03,28.29,28.49,28.69,28.74,28.79,27.66,25.98,23.81,22.8,21.89,,,,,,,,,,,,,,,,,
,Strike,2.41,2.39,2.38,2.37,2.36,2.34,2.32,2.3,2.29,2.27,2.27,2.25,2.32,2.33,2.37,,,,,,,,,,,,,,,,,
25Yr,Vol,28.91,29.45,29.56,29.51,29.36,29.15,29.05,28.95,28.75,28.55,26.9,24.56,22.6,21.04,20.74,,,,,,,,,,,,,,,,,
,Strike,2.23,2.22,2.21,2.19,2.18,2.19,2.2,2.2,2.19,2.19,2.25,2.31,2.33,2.37,2.25,,,,,,,,,,,,,,,,,
30Yr,Vol,28.44,26.73,26.43,26.13,25.73,25.52,25.52,25.72,25.72,25.77,24.4,22.39,20.68,19.99,19.19,,,,,,,,,,,,,,,,,
,Strike,2.24,2.23,2.22,2.21,2.2,2.27,2.31,2.34,2.36,2.38,2.39,2.39,2.44,2.27,2.14,,,,,,,,,,,,,,,,,
#########,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skew,scale,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr,,,,,,,,,,,,,,,,,,
1Mo,2.8,3.2,3.2,2.8,2.4,2,1.6,1.4,1.4,1.2,1.2,1,1,1,1,,,,,,,,,,,,,,,,,,
3Mo,2.9,3.2,3.2,2.8,2.4,2,1.8,1.6,1.4,1.2,1.2,1,1,1,1.1,,,,,,,,,,,,,,,,,,
6Mo,3.5,3.2,2.8,2.4,2.2,1.8,1.6,1.4,1.2,1.2,1.1,1,1,1,1,,,,,,,,,,,,,,,,,,
9Mo,1.5,1.4,1.2,1,0.9,0.8,0.7,0.6,0.6,0.5,0.5,0.5,0.4,0.5,0.5,,,,,,,,,,,,,,,,,,
1Yr,-0.3,-0.2,-0.2,-0.2,-0.2,-0.2,-0.1,0,0,0,-0.1,0,0,0,0,,,,,,,,,,,,,,,,,,
2Yr,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0.1,0,0,0,0,,,,,,,,,,,,,,,,,,
3Yr,-3.3,-2.6,-2.2,-1.8,-1.8,-1.6,-1.6,-1.4,-1.4,-1.4,-1.3,-1.2,-1.4,-1.4,-1.6,,,,,,,,,,,,,,,,,,
4Yr,-3.8,-3.2,-3,-2.7,-2.5,-2.4,-2.3,-2.2,-2.1,-2.1,-2.1,-2.1,-2.3,-2.4,-2.5,,,,,,,,,,,,,,,,,,
5Yr,-2.6,-2.4,-2.2,-2,-2,-1.8,-1.8,-1.8,-1.8,-1.8,-1.7,-1.8,-2,-2,-2.2,,,,,,,,,,,,,,,,,,
6Yr,-2.2,-2,-1.9,-1.8,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-1.8,-1.9,-2,-2.1,,,,,,,,,,,,,,,,,,
7Yr,-1.7,-1.8,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,-1.7,-1.6,-1.8,-2,-2,,,,,,,,,,,,,,,,,,
8Yr,-2,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-1.8,-1.8,-1.8,-1.9,-2.1,-2.2,-2.2,,,,,,,,,,,,,,,,,,
9Yr,-1.8,-1.8,-1.8,-1.9,-1.8,-1.8,-1.9,-2,-2,-2,-2,-2.1,-2.3,-2.4,-2.4,,,,,,,,,,,,,,,,,,
10Yr,-2,-1.8,-2,-2,-2,-2,-2,-2.2,-2.2,-2.2,-2.3,-2.4,-2.6,-2.6,-2.6,,,,,,,,,,,,,,,,,,
12Yr,-2.2,-2.2,-2.1,-2.2,-2.2,-2.3,-2.3,-2.5,-2.5,-2.6,-2.6,-2.7,-2.8,-2.8,-2.8,,,,,,,,,,,,,,,,,,
15Yr,-2.5,-2.6,-2.6,-2.6,-2.6,-2.8,-3,-3,-3,-3.2,-3.1,-3.2,-3.2,-3,-3,,,,,,,,,,,,,,,,,,
20Yr,-3.4,-3.4,-3.6,-3.6,-3.6,-3.8,-3.8,-3.8,-3.8,-3.8,-3.8,-3.6,-3.2,-3,-2.8,,,,,,,,,,,,,,,,,,
25Yr,-4,-4,-4.2,-4.2,-4.2,-4,-4,-4,-4,-4,-3.7,-3.2,-3,-2.8,-2.8,,,,,,,,,,,,,,,,,,
30Yr,-3.9,-3.6,-3.6,-3.6,-3.6,-3.4,-3.4,-3.4,-3.4,-3.4,-3.1,-2.8,-2.6,-2.8,-2.8,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
