Info,,LIBOR 6M,,Vol Black,Aout-01-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EUR,Mid,,EUR BVOL CUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#######,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIBOR_DF,6 MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 MO,7 MO,8 MO,9 MO,10 MO,11 MO,1 YR,13 MO,14 MO,15 MO,16 MO,17 MO,18 MO,2 YR,3 YR,4 YR,5 YR,6 YR,7 YR,8 YR,9 YR,10 YR,11 YR,12 YR,15 YR,20 YR,25 YR,30 YR,35 YR,40 YR,45 YR,50 YR,,
0.998428,0.99818,0.997908,0.997682,0.997416,0.997174,0.99693,0.996646,0.996405,0.996129,0.995835,0.99557,0.995276,0.993313,0.987949,0.979792,0.968519,0.953734,0.935995,0.91595,0.893983,0.8714,0.848224,0.825171,0.75847,0.663883,0.590037,0.529121,0.474788,0.421548,0.379434,0.341112,,
#########,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SwaptionVol,ATM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expiry,,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr,,,,,,,,,,,,,,,,,
12Yr,Vol,27.79,27.67,27.28,27.44,27.56,27.41,27.33,27.28,27.35,27.42,26.75,25.74,24.43,23.25,22.24,,,,,,,,,,,,,,,,,
,Strike,2.73,2.79,2.84,2.79,2.76,2.75,2.75,2.76,2.72,2.69,2.64,2.58,2.5,2.47,2.45,,,,,,,,,,,,,,,,,
15Yr,Vol,26.22,26.78,26.81,26.99,27.14,27.16,27.24,27.38,27.36,27.36,26.57,25.32,23.52,22.06,21.07,,,,,,,,,,,,,,,,,
,Strike,2.6,2.63,2.65,2.68,2.7,2.65,2.61,2.59,2.57,2.55,2.5,2.45,2.4,2.4,2.36,,,,,,,,,,,,,,,,,
20Yr,Vol,26.73,27.25,27.41,27.63,27.85,27.85,27.86,27.75,27.57,27.27,26.02,24.12,21.51,20.24,19.28,,,,,,,,,,,,,,,,,
,Strike,2.38,2.38,2.39,2.39,2.39,2.36,2.34,2.33,2.31,2.3,2.29,2.27,2.3,2.27,2.26,,,,,,,,,,,,,,,,,
25Yr,Vol,27.4,27.7,27.67,27.6,27.48,27.06,26.65,26.17,25.67,25.16,23.76,21.72,19.56,18.55,17.45,,,,,,,,,,,,,,,,,
,Strike,2.22,2.21,2.21,2.21,2.2,2.2,2.2,2.2,2.2,2.2,2.23,2.26,2.23,2.22,2.1,,,,,,,,,,,,,,,,,
30Yr,Vol,28,26.14,25.72,25.32,24.95,24.25,23.67,23.11,22.53,22.05,21.01,19.42,17.66,16.71,15.62,,,,,,,,,,,,,,,,,
,Strike,2.21,2.2,2.2,2.2,2.19,2.23,2.25,2.27,2.28,2.29,2.27,2.24,2.22,2.07,1.96,,,,,,,,,,,,,,,,,
#######,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SwaptionVol,ATM,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expiry,,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr,,,,,,,,,,,,,,,,,
1Mo,Vol,44.72,43.22,44.93,46.15,44.48,41.12,38.29,36.03,34.29,32.84,30.07,25.89,24.22,24.09,24.55,,,,,,,,,,,,,,,,,
,Strike,0.36,0.39,0.46,0.57,0.71,0.86,1.01,1.16,1.3,1.42,1.63,1.85,2.03,2.1,2.11,,,,,,,,,,,,,,,,,
3Mo,Vol,47.29,44.94,48.55,49.13,48.53,43.97,40.79,38.6,36.58,34.97,32.11,27.81,25.8,25.41,25.89,,,,,,,,,,,,,,,,,
,Strike,0.36,0.41,0.49,0.61,0.75,0.9,1.05,1.2,1.34,1.46,1.66,1.88,2.05,2.11,2.13,,,,,,,,,,,,,,,,,
6Mo,Vol,45.65,46.4,48.79,49.67,48.26,44.25,40.8,38.43,36.43,34.87,32.07,27.99,25.8,25.31,25.68,,,,,,,,,,,,,,,,,
,Strike,0.37,0.43,0.53,0.66,0.8,0.96,1.12,1.26,1.4,1.52,1.71,1.91,2.08,2.13,2.15,,,,,,,,,,,,,,,,,
9Mo,Vol,47.74,50.09,51.7,51.29,49.35,45.08,41.56,39.06,37.07,35.46,32.59,28.51,26.34,25.85,26.05,,,,,,,,,,,,,,,,,
,Strike,0.39,0.47,0.58,0.71,0.87,1.03,1.18,1.33,1.46,1.58,1.76,1.95,2.11,2.16,2.17,,,,,,,,,,,,,,,,,
1Yr,Vol,49.87,53.83,54.65,52.94,50.46,45.91,42.33,39.7,37.71,36.06,33.12,29.04,26.87,26.38,26.43,,,,,,,,,,,,,,,,,
,Strike,0.41,0.5,0.63,0.77,0.93,1.1,1.25,1.4,1.53,1.64,1.81,1.99,2.14,2.18,2.19,,,,,,,,,,,,,,,,,
2Yr,Vol,61.2,62.76,58.36,53.21,48.64,44.31,41.02,38.42,36.69,35.23,32.88,29.5,27.9,27.34,27.11,,,,,,,,,,,,,,,,,
,Strike,0.59,0.73,0.89,1.07,1.24,1.4,1.54,1.67,1.79,1.88,2.02,2.15,2.26,2.27,2.27,,,,,,,,,,,,,,,,,
3Yr,Vol,66,61.73,54.81,49.31,45.02,41.38,38.61,36.5,34.92,33.68,31.9,29.24,27.95,27.34,27.09,,,,,,,,,,,,,,,,,
,Strike,0.88,1.05,1.23,1.4,1.56,1.71,1.84,1.95,2.04,2.1,2.23,2.31,2.37,2.36,2.35,,,,,,,,,,,,,,,,,
4Yr,Vol,59.41,53.03,47.15,43.24,40.33,37.79,35.91,34.2,33.14,32.15,30.76,28.68,27.82,27.17,26.71,,,,,,,,,,,,,,,,,
,Strike,1.22,1.4,1.58,1.74,1.88,2.01,2.11,2.19,2.25,2.31,2.39,2.45,2.46,2.44,2.41,,,,,,,,,,,,,,,,,
5Yr,Vol,46.79,44.37,40.41,37.86,36.04,34.37,33.16,32.19,31.39,30.75,29.67,28.03,27.43,26.8,26.11,,,,,,,,,,,,,,,,,
,Strike,1.6,1.77,1.92,2.06,2.17,2.27,2.35,2.4,2.45,2.5,2.52,2.57,2.54,2.5,2.47,,,,,,,,,,,,,,,,,
6Yr,Vol,41.01,39.06,36.27,34.43,33.1,31.93,31.12,30.48,29.91,29.55,28.63,27.3,26.71,26,25.23,,,,,,,,,,,,,,,,,
,Strike,1.95,2.09,2.22,2.33,2.41,2.48,2.52,2.56,2.61,2.61,2.63,2.64,2.59,2.54,2.51,,,,,,,,,,,,,,,,,
7Yr,Vol,35.51,34,32.42,31.24,30.39,29.73,29.2,28.89,28.66,28.44,27.68,26.64,26.05,25.25,24.4,,,,,,,,,,,,,,,,,
,Strike,2.24,2.36,2.46,2.54,2.59,2.62,2.66,2.7,2.69,2.7,2.71,2.68,2.62,2.56,2.53,,,,,,,,,,,,,,,,,
8Yr,Vol,33.06,31.95,30.73,29.91,29.42,28.87,28.45,28.32,28.17,28.03,27.29,26.36,25.65,24.79,23.89,,,,,,,,,,,,,,,,,
,Strike,2.49,2.57,2.64,2.69,2.71,2.74,2.77,2.76,2.75,2.75,2.76,2.71,2.63,2.57,2.55,,,,,,,,,,,,,,,,,
9Yr,Vol,30.96,30.17,29.29,28.86,28.55,28.12,27.95,27.83,27.75,27.69,27.05,26.14,25.29,24.36,23.41,,,,,,,,,,,,,,,,,
,Strike,2.66,2.72,2.76,2.76,2.79,2.82,2.8,2.79,2.79,2.79,2.77,2.71,2.62,2.57,2.55,,,,,,,,,,,,,,,,,
