Info,,LIBOR 6M,,Vol Black,,,,Year,Month,Date,,,,,,,,,,,,,,,,,,,,,,,
,,EUR,Mid,,EUR BVOL CUB,,,2008,7,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#######,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIBOR_DF,6 MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 MO,7 MO,8 MO,9 MO,10 MO,11 MO,1 YR,13 MO,14 MO,15 MO,16 MO,17 MO,18 MO,2 YR,3 YR,4 YR,5 YR,6 YR,7 YR,8 YR,9 YR,10 YR,11 YR,12 YR,15 YR,20 YR,25 YR,30 YR,35 YR,40 YR,45 YR,50 YR,,
0.974202,0.969903,0.966023,0.9613,0.957324,0.953032,0.948561,0.944525,0.940236,0.93597,0.931862,0.927772,0.923572,0.899711,0.854848,0.814144,0.776306,0.740475,0.706331,0.673748,0.641409,0.610097,0.579941,0.550929,0.473406,0.372009,0.298286,0.242211,0.196994,0.161634,0.13267,0.110288,,
#########,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SwaptionVol,ATM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expiry,,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr,,,,,,,,,,,,,,,,,
1Mo,Vol,22.27,25.12,24.25,23.22,22.45,21.02,19.72,18.75,17.97,16.98,16.83,16.65,16.65,16.98,17.25,,,,,,,,,,,,,,,,,
,Strike,5.43,5.43,5.37,5.28,5.21,5.15,5.11,5.09,5.08,5.09,5.1,5.12,5.09,5.02,4.95,,,,,,,,,,,,,,,,,
3Mo,Vol,21.77,24.23,22.97,21.6,20.63,19.25,18.1,17.32,16.6,15.95,15.72,15.43,15.4,15.38,15.48,,,,,,,,,,,,,,,,,
,Strike,5.47,5.43,5.36,5.27,5.19,5.14,5.1,5.08,5.08,5.08,5.1,5.11,5.08,5.02,4.95,,,,,,,,,,,,,,,,,
6Mo,Vol,21.41,22.85,21.38,20.27,19.43,18.23,17.25,16.6,16.07,15.6,15.42,15.15,15.1,15.1,15.15,,,,,,,,,,,,,,,,,
,Strike,5.5,5.42,5.33,5.24,5.17,5.12,5.08,5.07,5.07,5.08,5.1,5.11,5.07,5.01,4.94,,,,,,,,,,,,,,,,,
9Mo,Vol,21.52,21.99,20.54,19.38,18.45,17.45,16.67,16.15,15.74,15.34,15.16,14.9,14.84,14.84,14.88,,,,,,,,,,,,,,,,,
,Strike,5.47,5.39,5.29,5.2,5.13,5.09,5.06,5.05,5.06,5.07,5.09,5.1,5.06,4.99,4.93,,,,,,,,,,,,,,,,,
1Yr,Vol,21.63,21.13,19.7,18.48,17.48,16.68,16.07,15.7,15.4,15.08,14.9,14.65,14.57,14.57,14.6,,,,,,,,,,,,,,,,,
