Info,,LIBOR 6M,,Vol Black,Aout-04-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EUR,Mid,,EUR Bloomberg CUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#######,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIBOR_DF,6 MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 MO,7 MO,8 MO,9 MO,10 MO,11 MO,1 YR,13 MO,14 MO,15 MO,16 MO,17 MO,18 MO,2 YR,3 YR,4 YR,5 YR,6 YR,7 YR,8 YR,9 YR,10 YR,11 YR,12 YR,15 YR,20 YR,25 YR,30 YR,35 YR,40 YR,45 YR,50 YR,,
0.998433,0.998191,0.997931,0.997691,0.997415,0.997195,0.996935,0.996665,0.996414,0.996139,0.995854,0.995577,0.995258,0.993255,0.987823,0.979543,0.967959,0.953613,0.935769,0.915451,0.893429,0.871151,0.84762,0.825001,0.758308,0.663728,0.588939,0.528298,0.4734,0.421191,0.380444,0.340292,,
#########,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SwaptionVol,ATM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expiry,,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr,,,,,,,,,,,,,,,,,
12Yr,Vol,27.36,27.62,27.19,27.33,27.44,27.28,27.19,27.15,27.23,27.3,26.62,25.63,24.33,23.16,22.14,,,,,,,,,,,,,,,,,
,Strike,2.73,2.8,2.85,2.79,2.76,2.75,2.75,2.76,2.72,2.69,2.65,2.59,2.51,2.47,2.45,,,,,,,,,,,,,,,,,
15Yr,Vol,26.25,26.69,26.7,26.84,26.99,27,27.06,27.21,27.19,27.23,26.45,25.22,23.43,21.98,20.97,,,,,,,,,,,,,,,,,
,Strike,2.6,2.63,2.65,2.68,2.7,2.65,2.62,2.6,2.58,2.57,2.51,2.46,2.41,2.4,2.36,,,,,,,,,,,,,,,,,
20Yr,Vol,26.49,27.21,27.3,27.48,27.67,27.7,27.71,27.61,27.44,27.15,25.91,24.05,21.44,20.17,19.23,,,,,,,,,,,,,,,,,
,Strike,2.4,2.41,2.41,2.42,2.42,2.39,2.36,2.34,2.33,2.31,2.3,2.29,2.3,2.26,2.26,,,,,,,,,,,,,,,,,
25Yr,Vol,27.43,27.8,27.78,27.65,27.5,27.06,26.64,26.15,25.66,25.14,23.74,21.69,19.54,18.52,17.43,,,,,,,,,,,,,,,,,
,Strike,2.21,2.21,2.2,2.2,2.2,2.2,2.21,2.21,2.21,2.21,2.23,2.25,2.21,2.22,2.1,,,,,,,,,,,,,,,,,
30Yr,Vol,27.44,26.22,25.81,25.36,24.99,24.29,23.7,23.09,22.55,22.03,20.99,19.41,17.65,16.72,15.65,,,,,,,,,,,,,,,,,
,Strike,2.24,2.23,2.23,2.23,2.22,2.25,2.26,2.28,2.28,2.29,2.26,2.22,2.23,2.07,1.96,,,,,,,,,,,,,,,,,
#######,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SwaptionVol,ATM,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expiry,,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr,,,,,,,,,,,,,,,,,
1Mo,Vol,44.29,42.8,44.58,45.41,43.78,40.64,37.97,35.74,34.01,32.52,29.71,25.43,23.51,23.07,23.24,,,,,,,,,,,,,,,,,
,Strike,0.36,0.4,0.47,0.58,0.72,0.86,1.01,1.16,1.31,1.43,1.63,1.85,2.04,2.1,2.12,,,,,,,,,,,,,,,,,
3Mo,Vol,47.36,44.84,48.02,47.96,47.05,42.89,39.85,37.82,35.88,34.37,31.54,27.26,25.23,24.74,25.12,,,,,,,,,,,,,,,,,
,Strike,0.36,0.41,0.5,0.62,0.76,0.9,1.06,1.21,1.34,1.47,1.67,1.88,2.05,2.12,2.13,,,,,,,,,,,,,,,,,
6Mo,Vol,45.63,46.18,47.79,48.22,46.85,43.18,39.93,37.68,35.79,34.31,31.56,27.54,25.4,24.98,25.32,,,,,,,,,,,,,,,,,
,Strike,0.37,0.44,0.54,0.67,0.81,0.97,1.12,1.27,1.4,1.53,1.72,1.92,2.08,2.14,2.15,,,,,,,,,,,,,,,,,
9Mo,Vol,47.49,49.55,50.59,49.88,48.16,44.18,40.83,38.45,36.55,34.99,32.18,28.15,26.01,25.57,25.78,,,,,,,,,,,,,,,,,
,Strike,0.39,0.47,0.59,0.73,0.87,1.03,1.19,1.34,1.47,1.58,1.76,1.96,2.11,2.16,2.17,,,,,,,,,,,,,,,,,
1Yr,Vol,49.46,53.09,53.53,51.63,49.52,45.22,41.76,39.25,37.35,35.71,32.82,28.78,26.64,26.18,26.25,,,,,,,,,,,,,,,,,
,Strike,0.42,0.51,0.64,0.79,0.94,1.1,1.26,1.41,1.53,1.65,1.82,2,2.14,2.19,2.19,,,,,,,,,,,,,,,,,
2Yr,Vol,60.15,60.86,56.72,52.06,47.86,43.77,40.6,38.08,36.4,34.97,32.67,29.36,27.75,27.22,27.01,,,,,,,,,,,,,,,,,
,Strike,0.6,0.75,0.91,1.07,1.24,1.41,1.56,1.68,1.8,1.89,2.03,2.16,2.26,2.28,2.28,,,,,,,,,,,,,,,,,
3Yr,Vol,63.86,59.7,53.58,48.52,44.5,40.99,38.31,36.26,34.7,33.5,31.74,29.11,27.84,27.25,27.02,,,,,,,,,,,,,,,,,
,Strike,0.9,1.07,1.23,1.41,1.57,1.72,1.84,1.96,2.04,2.11,2.23,2.31,2.37,2.37,2.35,,,,,,,,,,,,,,,,,
4Yr,Vol,55.71,51.69,46.36,42.74,40,37.6,35.76,34.1,33.03,32.05,30.67,28.61,27.73,27.09,26.65,,,,,,,,,,,,,,,,,
,Strike,1.25,1.4,1.58,1.75,1.9,2.01,2.12,2.19,2.25,2.31,2.39,2.45,2.47,2.44,2.42,,,,,,,,,,,,,,,,,
5Yr,Vol,48.25,43.92,40.1,37.66,35.9,34.31,33.09,32.18,31.38,30.74,29.64,27.98,27.39,26.77,26.12,,,,,,,,,,,,,,,,,
,Strike,1.56,1.76,1.92,2.06,2.17,2.27,2.34,2.39,2.44,2.49,2.52,2.57,2.55,2.5,2.47,,,,,,,,,,,,,,,,,
6Yr,Vol,41.63,38.72,35.97,34.29,32.93,31.85,31.06,30.45,29.87,29.51,28.59,27.26,26.67,25.98,25.24,,,,,,,,,,,,,,,,,
,Strike,1.96,2.11,2.24,2.33,2.42,2.48,2.52,2.57,2.61,2.61,2.63,2.64,2.6,2.55,2.52,,,,,,,,,,,,,,,,,
7Yr,Vol,35.46,33.85,32.28,31.11,30.27,29.64,29.16,28.85,28.59,28.38,27.63,26.62,26.01,25.24,24.39,,,,,,,,,,,,,,,,,
,Strike,2.26,2.39,2.46,2.55,2.59,2.62,2.66,2.7,2.7,2.7,2.71,2.69,2.63,2.57,2.54,,,,,,,,,,,,,,,,,
8Yr,Vol,32.73,31.92,30.58,29.83,29.31,28.77,28.39,28.26,28.1,27.95,27.23,26.31,25.58,24.75,23.85,,,,,,,,,,,,,,,,,
,Strike,2.52,2.57,2.65,2.69,2.7,2.74,2.77,2.76,2.75,2.75,2.76,2.71,2.64,2.58,2.55,,,,,,,,,,,,,,,,,
9Yr,Vol,30.62,30.12,29.25,28.81,28.46,28.03,27.87,27.75,27.69,27.6,26.97,26.06,25.21,24.3,23.33,,,,,,,,,,,,,,,,,
,Strike,2.62,2.72,2.74,2.75,2.78,2.82,2.79,2.78,2.78,2.78,2.76,2.71,2.63,2.57,2.55,,,,,,,,,,,,,,,,,
10Yr,Vol,28.08,28.49,27.97,27.74,27.6,27.46,27.36,27.26,27.29,27.27,26.72,25.82,24.84,23.85,22.83,,,,,,,,,,,,,,,,,
,Strike,2.83,2.81,2.8,2.83,2.86,2.83,2.81,2.81,2.8,2.81,2.76,2.71,2.61,2.56,2.54,,,,,,,,,,,,,,,,,
12Yr,Vol,27.22,27.49,27.08,27.2,27.31,27.16,27.07,27.02,27.1,27.16,26.49,25.5,24.21,23.04,22.02,,,,,,,,,,,,,,,,,
,Strike,2.78,2.85,2.9,2.84,2.81,2.8,2.8,2.81,2.77,2.74,2.7,2.64,2.56,2.52,2.5,,,,,,,,,,,,,,,,,
15Yr,Vol,26.12,26.56,26.56,26.71,26.86,26.87,26.93,27.07,27.06,27.09,26.32,25.09,23.31,21.85,20.86,,,,,,,,,,,,,,,,,
,Strike,2.65,2.68,2.7,2.73,2.75,2.7,2.67,2.65,2.63,2.62,2.56,2.51,2.46,2.45,2.41,,,,,,,,,,,,,,,,,
20Yr,Vol,26.36,27.08,27.16,27.34,27.55,27.57,27.59,27.49,27.32,27.02,25.78,23.92,21.32,20.06,19.11,,,,,,,,,,,,,,,,,
,Strike,2.45,2.46,2.46,2.47,2.47,2.44,2.41,2.39,2.38,2.36,2.35,2.34,2.35,2.31,2.31,,,,,,,,,,,,,,,,,
25Yr,Vol,27.3,27.68,27.65,27.52,27.39,26.94,26.53,26.04,25.55,25.01,23.62,21.56,19.43,18.4,17.33,,,,,,,,,,,,,,,,,
,Strike,2.26,2.26,2.25,2.25,2.25,2.25,2.26,2.26,2.26,2.26,2.28,2.3,2.26,2.27,2.15,,,,,,,,,,,,,,,,,
30Yr,Vol,27.3,26.09,25.68,25.23,24.87,24.17,23.59,22.98,22.44,21.9,20.86,19.29,17.53,16.61,15.53,,,,,,,,,,,,,,,,,
,Strike,2.29,2.28,2.28,2.28,2.27,2.3,2.31,2.33,2.33,2.34,2.31,2.27,2.28,2.12,2.01,,,,,,,,,,,,,,,,,
########,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SwaptionVol,ATM,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
