Info,,LIBOR 6M,,Vol Black,,,,Year,Month,Date,,,,,,,,,,,,,,,,,,,,,,,
,,EUR,Mid,,EUR BVOL CUB,,,2011,1,5,,,,,,,,,,,,,,,,,,,,,,,
,Strike,1.94,2.26,2.56,2.82,3.01,3.17,3.31,3.42,3.51,3.6,3.73,3.84,3.84,3.73,3.59,,,,,,,,,,,,,,,,,
2Yr,Vol,37.8,32.25,29.5,27.45,26.4,25.4,24.6,24,23.45,22.95,22.42,21.7,21.9,22.9,24,,,,,,,,,,,,,,,,,
,Strike,2.58,2.88,3.13,3.3,3.44,3.56,3.66,3.74,3.82,3.89,3.98,4.01,3.95,3.81,3.65,,,,,,,,,,,,,,,,,
3Yr,Vol,30.81,27.1,25.7,24.45,23.65,22.95,22.35,21.85,21.45,21.1,20.64,19.95,20.15,21.2,22.2,,,,,,,,,,,,,,,,,
,Strike,3.18,3.41,3.56,3.68,3.78,3.86,3.93,4,4.06,4.1,4.17,4.14,4.02,3.85,3.68,,,,,,,,,,,,,,,,,
4Yr,Vol,25.4,23.65,22.75,22,21.35,20.9,20.45,20.15,19.9,19.7,19.36,18.9,19,20,20.85,,,,,,,,,,,,,,,,,
,Strike,3.65,3.75,3.86,3.94,4.01,4.07,4.13,4.19,4.22,4.25,4.26,4.22,4.05,3.86,3.68,,,,,,,,,,,,,,,,,
5Yr,Vol,22.69,21.45,20.7,20.15,19.65,19.25,18.95,18.8,18.7,18.7,18.45,18.05,18.05,18.9,19.7,,,,,,,,,,,,,,,,,
,Strike,3.86,3.96,4.04,4.11,4.16,4.22,4.28,4.31,4.33,4.36,4.31,4.26,4.05,3.84,3.65,,,,,,,,,,,,,,,,,
6Yr,Vol,21.15,20.07,19.53,19.07,18.64,18.33,18.12,18.01,17.97,18.04,17.84,17.57,17.62,18.47,19.17,,,,,,,,,,,,,,,,,
,Strike,4.07,4.14,4.2,4.25,4.31,4.36,4.38,4.41,4.43,4.39,4.34,4.24,4.01,3.79,3.62,,,,,,,,,,,,,,,,,
7Yr,Vol,19.67,18.75,18.4,18,17.65,17.45,17.3,17.25,17.3,17.4,17.27,17.1,17.2,18.05,18.65,,,,,,,,,,,,,,,,,
,Strike,4.22,4.26,4.31,4.37,4.43,4.44,4.46,4.48,4.44,4.4,4.34,4.2,3.96,3.73,3.57,,,,,,,,,,,,,,,,,
8Yr,Vol,18.76,17.98,17.68,17.39,17.21,17.04,16.94,17,17.09,17.2,17.09,17.02,17.17,17.94,18.44,,,,,,,,,,,,,,,,,
,Strike,4.31,4.36,4.43,4.49,4.5,4.51,4.52,4.47,4.43,4.39,4.33,4.15,3.88,3.65,3.52,,,,,,,,,,,,,,,,,
9Yr,Vol,17.85,17.2,16.94,16.84,16.77,16.63,16.65,16.76,16.88,17.01,16.98,16.95,17.15,17.83,18.24,,,,,,,,,,,,,,,,,
,Strike,4.42,4.49,4.55,4.55,4.56,4.57,4.5,4.44,4.4,4.37,4.26,4.08,3.8,3.57,3.45,,,,,,,,,,,,,,,,,
10Yr,Vol,16.88,16.4,16.3,16.3,16.35,16.35,16.4,16.55,16.7,16.85,16.9,16.9,17.15,17.75,18.05,,,,,,,,,,,,,,,,,
,Strike,4.57,4.63,4.6,4.6,4.6,4.51,4.45,4.4,4.36,4.32,4.17,3.99,3.7,3.47,3.38,,,,,,,,,,,,,,,,,
12Yr,Vol,16.5,16.3,16.34,16.61,16.9,16.93,17.01,17.15,17.36,17.6,17.64,17.69,17.83,18.28,18.32,,,,,,,,,,,,,,,,,
,Strike,4.53,4.56,4.58,4.44,4.36,4.31,4.26,4.23,4.13,4.05,3.91,3.72,3.45,3.28,3.22,,,,,,,,,,,,,,,,,
15Yr,Vol,16.49,16.7,17.05,17.4,17.75,18,18.25,18.45,18.6,18.8,18.9,18.95,18.9,19.1,18.75,,,,,,,,,,,,,,,,,
,Strike,4.02,4.01,4,3.99,3.98,3.86,3.77,3.7,3.64,3.59,3.44,3.28,3.04,2.99,2.96,,,,,,,,,,,,,,,,,
20Yr,Vol,19.6,20.05,20.6,21.15,21.7,21.9,22.05,22.3,22.55,22.65,22.57,22.35,21.2,20.1,19.1,,,,,,,,,,,,,,,,,
,Strike,3.2,3.18,3.16,3.13,3.11,3.03,2.97,2.92,2.87,2.83,2.73,2.62,2.64,2.65,2.71,,,,,,,,,,,,,,,,,
25Yr,Vol,23.25,24.1,24.8,25.25,25.6,25.45,25.3,25.05,24.85,24.55,23.78,22.8,20.45,19.15,18.05,,,,,,,,,,,,,,,,,
,Strike,2.6,2.58,2.55,2.53,2.51,2.46,2.41,2.38,2.35,2.32,2.39,2.44,2.5,2.59,2.47,,,,,,,,,,,,,,,,,
30Yr,Vol,23.97,25.05,25.2,25.35,25.25,24.75,24.2,23.7,23.15,22.6,21.47,19.9,18.1,16.95,15.9,,,,,,,,,,,,,,,,,
,Strike,2.19,2.16,2.14,2.12,2.1,2.21,2.29,2.34,2.37,2.4,2.45,2.49,2.62,2.46,2.33,,,,,,,,,,,,,,,,,
#######,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SwaptionVol,ATM,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expiry,,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr,,,,,,,,,,,,,,,,,
1Mo,Vol,34.97,33.89,32.85,32.21,32.16,30.47,29.27,28.52,28.02,27.68,26.96,25.93,26.43,27.38,28.68,,,,,,,,,,,,,,,,,
,Strike,1.45,1.75,2.05,2.35,2.61,2.81,2.98,3.12,3.24,3.34,3.52,3.69,3.75,3.67,3.56,,,,,,,,,,,,,,,,,
3Mo,Vol,34.34,36.24,34.3,32.61,31.71,30.07,28.92,28.17,27.62,27.27,26.69,25.88,26.58,28.28,30.32,,,,,,,,,,,,,,,,,
,Strike,1.53,1.84,2.14,2.43,2.68,2.88,3.04,3.18,3.3,3.4,3.57,3.73,3.77,3.69,3.57,,,,,,,,,,,,,,,,,
6Mo,Vol,33.51,37.43,34.3,32.45,31.11,29.46,28.27,27.42,26.82,26.32,25.72,24.88,25.38,26.77,28.47,,,,,,,,,,,,,,,,,
,Strike,1.67,1.99,2.3,2.58,2.81,3,3.15,3.28,3.39,3.48,3.64,3.78,3.81,3.72,3.6,,,,,,,,,,,,,,,,,
9Mo,Vol,37.09,37.58,33.99,31.58,30.04,28.59,27.55,26.78,26.23,25.76,25.09,24.19,24.54,25.78,27.25,,,,,,,,,,,,,,,,,
,Strike,1.82,2.15,2.45,2.72,2.94,3.11,3.25,3.37,3.47,3.56,3.71,3.83,3.85,3.75,3.62,,,,,,,,,,,,,,,,,
1Yr,Vol,40.65,37.71,33.69,30.71,28.97,27.72,26.83,26.13,25.64,25.19,24.47,23.5,23.7,24.79,26.04,,,,,,,,,,,,,,,,,
,Strike,1.99,2.31,2.61,2.87,3.06,3.22,3.36,3.47,3.56,3.65,3.78,3.89,3.89,3.78,3.64,,,,,,,,,,,,,,,,,
2Yr,Vol,37.72,32.19,29.45,27.4,26.36,25.36,24.56,23.96,23.42,22.92,22.39,21.67,21.87,22.87,23.96,,,,,,,,,,,,,,,,,
,Strike,2.63,2.93,3.18,3.35,3.49,3.61,3.71,3.79,3.87,3.94,4.03,4.06,4,3.86,3.7,,,,,,,,,,,,,,,,,
3Yr,Vol,30.81,27.09,25.69,24.44,23.64,22.94,22.34,21.84,21.45,21.1,20.63,19.95,20.15,21.2,22.19,,,,,,,,,,,,,,,,,
,Strike,3.23,3.46,3.61,3.73,3.83,3.91,3.98,4.05,4.11,4.15,4.22,4.19,4.07,3.9,3.73,,,,,,,,,,,,,,,,,
4Yr,Vol,25.33,23.58,22.69,21.94,21.29,20.84,20.4,20.1,19.85,19.65,19.31,18.85,18.95,19.94,20.79,,,,,,,,,,,,,,,,,
,Strike,3.7,3.8,3.91,3.99,4.06,4.12,4.18,4.24,4.27,4.3,4.31,4.27,4.1,3.91,3.73,,,,,,,,,,,,,,,,,
5Yr,Vol,22.62,21.39,20.64,20.09,19.6,19.2,18.9,18.75,18.65,18.65,18.4,18,18,18.84,19.64,,,,,,,,,,,,,,,,,
,Strike,3.91,4.01,4.09,4.16,4.21,4.27,4.33,4.36,4.38,4.41,4.36,4.31,4.1,3.89,3.7,,,,,,,,,,,,,,,,,
6Yr,Vol,21.09,20.02,19.49,19.02,18.6,18.28,18.07,17.97,17.93,18,17.8,17.52,17.57,18.42,19.12,,,,,,,,,,,,,,,,,
,Strike,4.12,4.19,4.25,4.3,4.36,4.41,4.43,4.46,4.48,4.44,4.39,4.29,4.06,3.84,3.67,,,,,,,,,,,,,,,,,
7Yr,Vol,19.63,18.71,18.37,17.97,17.62,17.42,17.27,17.22,17.27,17.37,17.23,17.07,17.16,18.01,18.61,,,,,,,,,,,,,,,,,
,Strike,4.27,4.31,4.36,4.42,4.48,4.49,4.51,4.53,4.49,4.45,4.39,4.25,4.01,3.78,3.62,,,,,,,,,,,,,,,,,
8Yr,Vol,18.71,17.94,17.63,17.35,17.16,17,16.9,16.96,17.04,17.16,17.05,16.97,17.12,17.88,18.38,,,,,,,,,,,,,,,,,
,Strike,4.36,4.41,4.48,4.54,4.55,4.56,4.57,4.52,4.48,4.44,4.38,4.2,3.93,3.7,3.57,,,,,,,,,,,,,,,,,
9Yr,Vol,17.79,17.14,16.88,16.78,16.71,16.58,16.6,16.71,16.82,16.96,16.92,16.89,17.08,17.76,18.16,,,,,,,,,,,,,,,,,
,Strike,4.47,4.54,4.6,4.6,4.61,4.62,4.55,4.49,4.45,4.42,4.31,4.13,3.85,3.62,3.5,,,,,,,,,,,,,,,,,
10Yr,Vol,16.81,16.33,16.23,16.23,16.28,16.28,16.33,16.48,16.63,16.78,16.83,16.82,17.06,17.66,17.95,,,,,,,,,,,,,,,,,
,Strike,4.62,4.68,4.65,4.65,4.65,4.56,4.5,4.45,4.41,4.37,4.22,4.04,3.75,3.52,3.43,,,,,,,,,,,,,,,,,
12Yr,Vol,16.45,16.25,16.29,16.56,16.82,16.86,16.95,17.09,17.3,17.51,17.55,17.6,17.73,18.18,18.22,,,,,,,,,,,,,,,,,
,Strike,4.58,4.61,4.63,4.49,4.41,4.36,4.31,4.28,4.18,4.1,3.96,3.77,3.5,3.33,3.27,,,,,,,,,,,,,,,,,
15Yr,Vol,16.42,16.62,16.97,17.32,17.67,17.91,18.16,18.36,18.5,18.7,18.8,18.84,18.78,18.98,18.63,,,,,,,,,,,,,,,,,
,Strike,4.07,4.06,4.05,4.04,4.03,3.91,3.82,3.75,3.69,3.64,3.49,3.33,3.09,3.04,3.01,,,,,,,,,,,,,,,,,
20Yr,Vol,19.49,19.93,20.48,21.03,21.57,21.77,21.91,22.16,22.41,22.5,22.42,22.19,21.05,19.96,18.97,,,,,,,,,,,,,,,,,
,Strike,3.25,3.23,3.21,3.18,3.16,3.08,3.02,2.97,2.92,2.88,2.78,2.67,2.69,2.7,2.76,,,,,,,,,,,,,,,,,
25Yr,Vol,23.09,23.93,24.62,25.07,25.41,25.26,25.11,24.86,24.66,24.36,23.6,22.63,20.3,19.01,17.92,,,,,,,,,,,,,,,,,
,Strike,2.65,2.63,2.6,2.58,2.56,2.51,2.46,2.43,2.4,2.37,2.44,2.49,2.55,2.64,2.52,,,,,,,,,,,,,,,,,
30Yr,Vol,23.77,24.84,24.98,25.13,25.03,24.54,24.01,23.51,22.97,22.43,21.31,19.75,17.97,16.82,15.77,,,,,,,,,,,,,,,,,
,Strike,2.24,2.21,2.19,2.17,2.15,2.26,2.34,2.39,2.42,2.45,2.5,2.54,2.67,2.51,2.38,,,,,,,,,,,,,,,,,
########,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SwaptionVol,ATM,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expiry,,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr,,,,,,,,,,,,,,,,,
1Mo,Vol,35.12,34.01,32.95,32.29,32.24,30.53,29.33,28.58,28.08,27.72,27,25.97,26.47,27.42,28.72,,,,,,,,,,,,,,,,,
,Strike,1.35,1.65,1.95,2.25,2.51,2.71,2.88,3.02,3.14,3.24,3.42,3.59,3.65,3.57,3.46,,,,,,,,,,,,,,,,,
3Mo,Vol,34.49,36.36,34.4,32.69,31.79,30.13,28.98,28.23,27.68,27.33,26.74,25.92,26.62,28.32,30.38,,,,,,,,,,,,,,,,,
,Strike,1.43,1.74,2.04,2.33,2.58,2.78,2.94,3.08,3.2,3.3,3.47,3.63,3.67,3.59,3.47,,,,,,,,,,,,,,,,,
6Mo,Vol,33.66,37.57,34.4,32.55,31.19,29.54,28.33,27.48,26.88,26.38,25.77,24.92,25.42,26.83,28.53,,,,,,,,,,,,,,,,,
,Strike,1.57,1.89,2.2,2.48,2.71,2.9,3.05,3.18,3.29,3.38,3.54,3.68,3.71,3.62,3.5,,,,,,,,,,,,,,,,,
9Mo,Vol,37.36,37.79,34.17,31.72,30.16,28.71,27.65,26.87,26.32,25.84,25.18,24.26,24.61,25.87,27.34,,,,,,,,,,,,,,,,,
,Strike,1.72,2.05,2.35,2.62,2.84,3.01,3.15,3.27,3.37,3.46,3.61,3.73,3.75,3.65,3.52,,,,,,,,,,,,,,,,,
1Yr,Vol,41.01,37.99,33.91,30.89,29.13,27.87,26.97,26.27,25.76,25.31,24.58,23.6,23.8,24.91,26.16,,,,,,,,,,,,,,,,,
,Strike,1.89,2.21,2.51,2.77,2.96,3.12,3.26,3.37,3.46,3.55,3.68,3.79,3.79,3.68,3.54,,,,,,,,,,,,,,,,,
2Yr,Vol,37.88,32.31,29.55,27.5,26.44,25.44,24.64,24.04,23.48,22.98,22.46,21.73,21.93,22.93,24.04,,,,,,,,,,,,,,,,,
,Strike,2.53,2.83,3.08,3.25,3.39,3.51,3.61,3.69,3.77,3.84,3.93,3.96,3.9,3.76,3.6,,,,,,,,,,,,,,,,,
3Yr,Vol,30.83,27.11,25.71,24.46,23.66,22.96,22.36,21.86,21.46,21.11,20.64,19.96,20.16,21.21,22.21,,,,,,,,,,,,,,,,,
,Strike,3.13,3.36,3.51,3.63,3.73,3.81,3.88,3.95,4.01,4.05,4.12,4.09,3.97,3.8,3.63,,,,,,,,,,,,,,,,,
4Yr,Vol,25.48,23.72,22.81,22.06,21.41,20.96,20.5,20.2,19.95,19.75,19.41,18.95,19.05,20.06,20.91,,,,,,,,,,,,,,,,,
,Strike,3.6,3.7,3.81,3.89,3.96,4.02,4.08,4.14,4.17,4.2,4.21,4.17,4,3.81,3.63,,,,,,,,,,,,,,,,,
5Yr,Vol,22.76,21.51,20.76,20.21,19.7,19.3,19,18.85,18.75,18.75,18.5,18.1,18.1,18.96,19.76,,,,,,,,,,,,,,,,,
,Strike,3.81,3.91,3.99,4.06,4.11,4.17,4.23,4.26,4.28,4.31,4.26,4.21,4,3.79,3.6,,,,,,,,,,,,,,,,,
6Yr,Vol,21.2,20.12,19.58,19.11,18.68,18.37,18.16,18.06,18.01,18.08,17.88,17.61,17.66,18.52,19.22,,,,,,,,,,,,,,,,,
,Strike,4.02,4.09,4.15,4.2,4.26,4.31,4.33,4.36,4.38,4.34,4.29,4.19,3.96,3.74,3.57,,,,,,,,,,,,,,,,,
7Yr,Vol,19.7,18.79,18.43,18.03,17.68,17.48,17.33,17.28,17.33,17.43,17.3,17.13,17.24,18.09,18.69,,,,,,,,,,,,,,,,,
,Strike,4.17,4.21,4.26,4.32,4.38,4.39,4.41,4.43,4.39,4.35,4.29,4.15,3.91,3.68,3.52,,,,,,,,,,,,,,,,,
8Yr,Vol,18.82,18.04,17.72,17.44,17.25,17.09,16.99,17.04,17.13,17.25,17.14,17.07,17.22,17.99,18.5,,,,,,,,,,,,,,,,,
,Strike,4.26,4.31,4.38,4.44,4.45,4.46,4.47,4.42,4.38,4.34,4.28,4.1,3.83,3.6,3.47,,,,,,,,,,,,,,,,,
9Yr,Vol,17.92,17.25,17,16.89,16.82,16.69,16.71,16.82,16.94,17.07,17.04,17.01,17.22,17.91,18.32,,,,,,,,,,,,,,,,,
,Strike,4.37,4.44,4.5,4.5,4.51,4.52,4.45,4.39,4.35,4.32,4.21,4.03,3.75,3.52,3.4,,,,,,,,,,,,,,,,,
10Yr,Vol,16.94,16.47,16.37,16.37,16.42,16.42,16.47,16.62,16.77,16.92,16.98,16.98,17.24,17.84,18.15,,,,,,,,,,,,,,,,,
,Strike,4.52,4.58,4.55,4.55,4.55,4.46,4.4,4.35,4.31,4.27,4.12,3.94,3.65,3.42,3.33,,,,,,,,,,,,,,,,,
12Yr,Vol,16.55,16.35,16.39,16.68,16.97,17,17.09,17.22,17.44,17.68,17.72,17.78,17.93,18.39,18.43,,,,,,,,,,,,,,,,,
,Strike,4.48,4.51,4.53,4.39,4.31,4.26,4.21,4.18,4.08,4,3.86,3.67,3.4,3.23,3.17,,,,,,,,,,,,,,,,,
15Yr,Vol,16.57,16.78,17.13,17.48,17.83,18.09,18.34,18.54,18.7,18.9,19.01,19.06,19.02,19.22,18.87,,,,,,,,,,,,,,,,,
,Strike,3.97,3.96,3.95,3.94,3.93,3.81,3.72,3.65,3.59,3.54,3.39,3.23,2.99,2.94,2.91,,,,,,,,,,,,,,,,,
20Yr,Vol,19.71,20.17,20.72,21.27,21.83,22.03,22.19,22.44,22.69,22.8,22.72,22.51,21.35,20.24,19.23,,,,,,,,,,,,,,,,,
,Strike,3.15,3.13,3.11,3.08,3.06,2.98,2.92,2.87,2.82,2.78,2.68,2.57,2.59,2.6,2.66,,,,,,,,,,,,,,,,,
25Yr,Vol,23.42,24.27,24.98,25.43,25.79,25.64,25.49,25.24,25.04,24.75,23.97,22.97,20.6,19.29,18.18,,,,,,,,,,,,,,,,,
,Strike,2.55,2.53,2.5,2.48,2.46,2.41,2.36,2.33,2.3,2.27,2.34,2.39,2.45,2.54,2.42,,,,,,,,,,,,,,,,,
30Yr,Vol,24.17,25.26,25.42,25.57,25.47,24.96,24.39,23.89,23.33,22.77,21.63,20.05,18.23,17.08,16.03,,,,,,,,,,,,,,,,,
,Strike,2.14,2.11,2.09,2.07,2.05,2.16,2.24,2.29,2.32,2.35,2.4,2.44,2.57,2.41,2.28,,,,,,,,,,,,,,,,,
#########,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skew,scale,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr,,,,,,,,,,,,,,,,,,
1Mo,-1.5,-1.2,-1,-0.8,-0.8,-0.6,-0.6,-0.6,-0.6,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,,,,,,,,,,,,,,,,,,
3Mo,-1.5,-1.2,-1,-0.8,-0.8,-0.6,-0.6,-0.6,-0.6,-0.6,-0.5,-0.4,-0.4,-0.4,-0.6,,,,,,,,,,,,,,,,,,
6Mo,-1.5,-1.4,-1,-1,-0.8,-0.8,-0.6,-0.6,-0.6,-0.6,-0.5,-0.4,-0.4,-0.6,-0.6,,,,,,,,,,,,,,,,,,
9Mo,-2.7,-2.1,-1.8,-1.4,-1.2,-1.2,-1,-0.9,-0.9,-0.8,-0.9,-0.7,-0.7,-0.9,-0.9,,,,,,,,,,,,,,,,,,
1Yr,-3.6,-2.8,-2.2,-1.8,-1.6,-1.5,-1.4,-1.4,-1.2,-1.2,-1.1,-1,-1,-1.2,-1.2,,,,,,,,,,,,,,,,,,
2Yr,-1.6,-1.2,-1,-1,-0.8,-0.8,-0.8,-0.8,-0.6,-0.6,-0.7,-0.6,-0.6,-0.6,-0.8,,,,,,,,,,,,,,,,,,
3Yr,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,,,,,,,,,,,,,,,,,,
4Yr,-1.5,-1.4,-1.2,-1.2,-1.2,-1.2,-1,-1,-1,-1,-1,-1,-1,-1.2,-1.2,,,,,,,,,,,,,,,,,,
5Yr,-1.4,-1.2,-1.2,-1.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.2,-1.2,,,,,,,,,,,,,,,,,,
6Yr,-1.1,-1,-0.9,-0.9,-0.8,-0.9,-0.9,-0.9,-0.8,-0.8,-0.8,-0.9,-0.9,-1,-1,,,,,,,,,,,,,,,,,,
7Yr,-0.7,-0.8,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.7,-0.6,-0.8,-0.8,-0.8,,,,,,,,,,,,,,,,,,
8Yr,-1.1,-1,-0.9,-0.9,-0.9,-0.9,-0.9,-0.8,-0.9,-0.9,-0.9,-1,-1,-1.1,-1.2,,,,,,,,,,,,,,,,,,
9Yr,-1.3,-1.1,-1.2,-1.1,-1.1,-1.1,-1.1,-1.1,-1.2,-1.1,-1.2,-1.2,-1.4,-1.5,-1.6,,,,,,,,,,,,,,,,,,
10Yr,-1.3,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.5,-1.6,-1.8,-1.8,-2,,,,,,,,,,,,,,,,,,
12Yr,-1,-1,-1,-1.2,-1.5,-1.4,-1.4,-1.3,-1.4,-1.7,-1.7,-1.8,-2,-2.1,-2.1,,,,,,,,,,,,,,,,,,
15Yr,-1.5,-1.6,-1.6,-1.6,-1.6,-1.8,-1.8,-1.8,-2,-2,-2.1,-2.2,-2.4,-2.4,-2.4,,,,,,,,,,,,,,,,,,
20Yr,-2.2,-2.4,-2.4,-2.4,-2.6,-2.6,-2.8,-2.8,-2.8,-3,-3,-3.2,-3,-2.8,-2.6,,,,,,,,,,,,,,,,,,
25Yr,-3.3,-3.4,-3.6,-3.6,-3.8,-3.8,-3.8,-3.8,-3.8,-3.9,-3.7,-3.4,-3,-2.8,-2.6,,,,,,,,,,,,,,,,,,
30Yr,-4,-4.2,-4.4,-4.4,-4.4,-4.2,-3.8,-3.8,-3.6,-3.4,-3.2,-3,-2.6,-2.6,-2.6,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
