Info,,LIBOR 6M,,Vol Black,,,,Year,Month,Date,,,,,,,,,,,,,,,,,,,,,,,
,,EUR,Mid,,EUR BVOL CUB,,,2011,4,6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#######,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIBOR_DF,6 MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 MO,7 MO,8 MO,9 MO,10 MO,11 MO,1 YR,13 MO,14 MO,15 MO,16 MO,17 MO,18 MO,2 YR,3 YR,4 YR,5 YR,6 YR,7 YR,8 YR,9 YR,10 YR,11 YR,12 YR,15 YR,20 YR,25 YR,30 YR,35 YR,40 YR,45 YR,50 YR,,
0.991966,0.990372,0.988679,0.986775,0.98495,0.983116,0.981045,0.979167,0.977013,0.974814,0.97264,0.970174,0.968069,0.953509,0.922151,0.88901,0.854847,0.820489,0.786798,0.753702,0.721085,0.689382,0.658136,0.627433,0.543898,0.437335,0.364429,0.313436,0.272001,0.234494,0.198651,0.171671,,
#########,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SwaptionVol,ATM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expiry,,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr,,,,,,,,,,,,,,,,,
12Yr,Vol,15.23,15.12,15.13,15.31,15.47,15.52,15.62,15.78,16.03,16.29,16.29,16.3,16.61,17.09,17.38,,,,,,,,,,,,,,,,,
,Strike,4.87,4.88,4.89,4.8,4.74,4.7,4.67,4.64,4.56,4.5,4.39,4.22,3.98,3.84,3.76,,,,,,,,,,,,,,,,,
15Yr,Vol,14.81,15,15.2,15.42,15.65,15.83,16.02,16.25,16.48,16.75,16.74,16.68,16.75,17.07,17.3,,,,,,,,,,,,,,,,,
,Strike,4.5,4.5,4.49,4.47,4.46,4.36,4.29,4.22,4.17,4.13,3.99,3.83,3.65,3.56,3.54,,,,,,,,,,,,,,,,,
20Yr,Vol,16.13,16.55,16.85,17.15,17.4,17.65,17.9,18.25,18.5,18.75,18.47,18.02,17.35,17.18,16.95,,,,,,,,,,,,,,,,,
,Strike,3.82,3.79,3.76,3.74,3.72,3.63,3.56,3.51,3.46,3.42,3.35,3.26,3.21,3.24,3.21,,,,,,,,,,,,,,,,,
25Yr,Vol,18.4,19.25,19.5,19.75,19.9,20,20.02,20.05,20.05,20,19.31,18.3,17.18,16.82,16.48,,,,,,,,,,,,,,,,,
,Strike,3.16,3.13,3.11,3.09,3.06,3.05,3.03,3.01,2.99,2.98,2.99,2.99,3.06,3.05,2.88,,,,,,,,,,,,,,,,,
30Yr,Vol,19.56,19.85,19.8,19.75,19.57,19.32,19.13,18.93,18.68,18.48,17.73,16.7,15.72,15.4,15.13,,,,,,,,,,,,,,,,,
,Strike,2.96,2.94,2.92,2.9,2.88,2.91,2.93,2.94,2.94,2.94,3.01,3.06,3.04,2.83,2.67,,,,,,,,,,,,,,,,,
#######,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SwaptionVol,ATM,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expiry,,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr,,,,,,,,,,,,,,,,,
1Mo,Vol,29.48,31.04,27.03,24.39,22.42,21.28,20.33,19.59,18.91,18.34,17.9,17.27,17.12,17.44,18.04,,,,,,,,,,,,,,,,,
,Strike,2.07,2.53,2.84,3.07,3.25,3.4,3.52,3.62,3.71,3.79,3.93,4.08,4.16,4.11,4.01,,,,,,,,,,,,,,,,,
3Mo,Vol,28.04,29.9,27.37,25.35,23.79,22.72,21.75,21.02,20.4,19.88,19.35,18.61,18.61,19.08,20.01,,,,,,,,,,,,,,,,,
,Strike,2.26,2.67,2.95,3.17,3.34,3.48,3.59,3.69,3.77,3.85,3.98,4.12,4.18,4.13,4.03,,,,,,,,,,,,,,,,,
6Mo,Vol,28.39,29.02,26.75,25.14,23.97,22.99,22.16,21.56,20.96,20.46,20.01,19.31,19.26,19.86,20.69,,,,,,,,,,,,,,,,,
,Strike,2.53,2.87,3.12,3.31,3.46,3.59,3.69,3.78,3.86,3.93,4.06,4.18,4.23,4.16,4.06,,,,,,,,,,,,,,,,,
9Mo,Vol,29.73,28.7,26.62,25,23.81,22.91,22.2,21.62,21.09,20.62,20.18,19.54,19.56,20.2,21.07,,,,,,,,,,,,,,,,,
,Strike,2.75,3.04,3.26,3.43,3.57,3.68,3.78,3.86,3.93,4,4.12,4.23,4.26,4.19,4.08,,,,,,,,,,,,,,,,,
1Yr,Vol,31.12,28.37,26.5,24.86,23.66,22.84,22.24,21.69,21.22,20.79,20.37,19.77,19.87,20.54,21.47,,,,,,,,,,,,,,,,,
,Strike,2.96,3.2,3.39,3.54,3.67,3.77,3.86,3.93,4,4.07,4.18,4.27,4.29,4.21,4.1,,,,,,,,,,,,,,,,,
2Yr,Vol,28.77,26.06,24.67,23.58,22.63,22.06,21.61,21.16,20.77,20.37,19.94,19.4,19.52,20.44,21.41,,,,,,,,,,,,,,,,,
,Strike,3.45,3.61,3.75,3.86,3.95,4.03,4.1,4.15,4.21,4.27,4.36,4.41,4.38,4.27,4.15,,,,,,,,,,,,,,,,,
3Yr,Vol,25.88,23.43,22.53,21.76,21.04,20.82,20.59,20.29,20,19.75,19.38,18.93,19.22,20.24,21.21,,,,,,,,,,,,,,,,,
,Strike,3.78,3.91,4.01,4.09,4.15,4.22,4.27,4.33,4.38,4.42,4.49,4.5,4.43,4.29,4.17,,,,,,,,,,,,,,,,,
4Yr,Vol,23.01,21.4,20.85,20.33,19.86,19.59,19.34,19.14,18.99,18.89,18.63,18.32,18.62,19.58,20.53,,,,,,,,,,,,,,,,,
,Strike,4.05,4.13,4.2,4.26,4.32,4.37,4.42,4.47,4.51,4.55,4.57,4.57,4.45,4.3,4.17,,,,,,,,,,,,,,,,,
5Yr,Vol,21.17,19.96,19.54,19.14,18.76,18.56,18.34,18.29,18.26,18.27,18.11,17.89,18.11,19.11,19.98,,,,,,,,,,,,,,,,,
,Strike,4.21,4.28,4.33,4.39,4.44,4.49,4.54,4.58,4.61,4.64,4.63,4.61,4.46,4.28,4.15,,,,,,,,,,,,,,,,,
6Yr,Vol,20.06,18.89,18.53,18.2,17.87,17.71,17.56,17.56,17.58,17.66,17.54,17.38,17.66,18.56,19.27,,,,,,,,,,,,,,,,,
,Strike,4.34,4.4,4.45,4.5,4.55,4.61,4.65,4.68,4.7,4.69,4.67,4.61,4.44,4.26,4.12,,,,,,,,,,,,,,,,,
