Info,,LIBOR 6M,,Vol Black,,,,Year,Month,Date,,,,,,,,,,,,,,,,,,,,,,,
,,EUR,Mid,,EUR BVOL CUB,,,2011,10,5,,,,,,,,,,,,,,,,,,,,,,,
,Strike,1.36,1.58,1.83,2.07,2.25,2.39,2.5,2.59,2.67,2.74,2.86,2.94,2.94,2.87,2.81,,,,,,,,,,,,,,,,,
2Yr,Vol,55.35,46.5,42.1,39.25,37.77,36.85,36.28,35.8,35.42,35.1,34.13,33.53,34.4,35.78,36.77,,,,,,,,,,,,,,,,,
,Strike,1.79,2.08,2.31,2.48,2.61,2.71,2.78,2.86,2.91,2.97,3.05,3.08,3.03,2.94,2.88,,,,,,,,,,,,,,,,,
3Yr,Vol,43.01,38.6,36.17,34.38,33.33,32.67,32.1,31.7,31.35,31.08,30.34,29.9,30.78,32.02,32.9,,,,,,,,,,,,,,,,,
,Strike,2.37,2.58,2.72,2.83,2.91,2.96,3.03,3.07,3.12,3.16,3.22,3.18,3.1,2.99,2.92,,,,,,,,,,,,,,,,,
4Yr,Vol,36.48,33.83,32.38,31.28,30.35,29.93,29.47,29.18,29,28.93,28.47,28.03,28.68,29.93,30.72,,,,,,,,,,,,,,,,,
,Strike,2.79,2.91,2.99,3.05,3.09,3.15,3.18,3.23,3.26,3.28,3.29,3.25,3.12,3.01,2.94,,,,,,,,,,,,,,,,,
5Yr,Vol,31.86,30.68,29.7,28.85,27.97,27.57,27.18,27.03,26.93,26.97,26.85,26.55,27.13,28.07,28.53,,,,,,,,,,,,,,,,,
,Strike,3.02,3.1,3.14,3.17,3.23,3.26,3.3,3.33,3.35,3.37,3.32,3.27,3.12,3,2.93,,,,,,,,,,,,,,,,,
6Yr,Vol,29.37,28.46,27.79,26.87,26.19,25.78,25.6,25.55,25.48,25.75,25.66,25.53,26.07,26.87,27.15,,,,,,,,,,,,,,,,,
,Strike,3.18,3.21,3.23,3.28,3.31,3.36,3.38,3.4,3.42,3.38,3.33,3.25,3.1,2.99,2.93,,,,,,,,,,,,,,,,,
7Yr,Vol,27.47,26.58,25.85,25.12,24.4,24.18,24.1,24.15,24.35,24.6,24.55,24.57,25.07,25.72,25.82,,,,,,,,,,,,,,,,,
,Strike,3.23,3.25,3.32,3.35,3.4,3.41,3.43,3.45,3.41,3.38,3.33,3.22,3.06,2.96,2.92,,,,,,,,,,,,,,,,,
8Yr,Vol,25.88,25.06,24.6,23.97,23.61,23.41,23.35,23.7,23.99,24.32,24.21,24.27,24.71,25.19,25.14,,,,,,,,,,,,,,,,,
,Strike,3.27,3.36,3.38,3.44,3.45,3.47,3.49,3.43,3.4,3.36,3.31,3.18,3.02,2.92,2.9,,,,,,,,,,,,,,,,,
9Yr,Vol,23.63,23.68,23.17,22.95,22.81,22.63,22.89,23.28,23.65,24.05,24.01,23.99,24.37,24.68,24.47,,,,,,,,,,,,,,,,,
,Strike,3.46,3.45,3.5,3.5,3.51,3.53,3.46,3.41,3.37,3.34,3.26,3.14,2.98,2.89,2.88,,,,,,,,,,,,,,,,,
10Yr,Vol,22.35,22.32,22.13,22.07,22.13,22.32,22.57,22.97,23.43,23.9,23.94,23.8,24.1,24.23,23.85,,,,,,,,,,,,,,,,,
,Strike,3.43,3.52,3.52,3.53,3.54,3.46,3.41,3.36,3.33,3.3,3.19,3.07,2.92,2.84,2.85,,,,,,,,,,,,,,,,,
12Yr,Vol,21.38,21.96,21.97,22.51,22.99,23.21,23.47,23.78,24.25,24.73,24.57,24.21,24.04,23.84,23.28,,,,,,,,,,,,,,,,,
,Strike,3.51,3.53,3.55,3.43,3.35,3.3,3.26,3.23,3.17,3.11,3.02,2.91,2.8,2.77,2.78,,,,,,,,,,,,,,,,,
15Yr,Vol,21.81,23.07,23.57,24.05,24.47,24.95,25.37,25.7,25.93,26.18,25.7,24.95,24.05,23.32,22.47,,,,,,,,,,,,,,,,,
,Strike,3.03,3.03,3.02,3.02,3.02,2.95,2.89,2.85,2.81,2.78,2.72,2.65,2.59,2.65,2.66,,,,,,,,,,,,,,,,,
20Yr,Vol,25.5,27.1,27.42,27.48,27.6,27.97,28.2,28.35,28.55,28.63,27.31,25.37,23.22,22.05,21.18,,,,,,,,,,,,,,,,,
,Strike,2.56,2.54,2.53,2.51,2.5,2.48,2.47,2.45,2.44,2.42,2.42,2.41,2.52,2.56,2.64,,,,,,,,,,,,,,,,,
25Yr,Vol,27.23,28.55,28.45,28.25,27.97,27.88,27.83,27.67,27.55,27.43,25.69,23.25,21.05,20,19.28,,,,,,,,,,,,,,,,,
,Strike,2.39,2.38,2.36,2.35,2.34,2.35,2.36,2.36,2.37,2.36,2.45,2.54,2.58,2.68,2.53,,,,,,,,,,,,,,,,,
30Yr,Vol,25.46,25.05,24.68,24.35,24.05,23.92,23.8,23.7,23.65,23.63,22.24,20.2,18.53,17.8,17.1,,,,,,,,,,,,,,,,,
,Strike,2.43,2.42,2.41,2.4,2.39,2.48,2.55,2.6,2.63,2.65,2.67,2.68,2.79,2.59,2.44,,,,,,,,,,,,,,,,,
#######,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SwaptionVol,ATM,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expiry,,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr,,,,,,,,,,,,,,,,,
1Mo,Vol,54.95,65.99,64.67,60.62,57.48,54.1,51.97,50.52,49.64,49.04,47.68,46.06,47.23,49.24,51.15,,,,,,,,,,,,,,,,,
,Strike,1.54,1.49,1.62,1.82,2.02,2.19,2.33,2.44,2.52,2.61,2.75,2.88,2.92,2.86,2.81,,,,,,,,,,,,,,,,,
3Mo,Vol,54.81,62.82,59.39,55.06,52.05,49.5,47.93,47.05,46.53,46.22,44.65,42.64,43.09,44.72,46.36,,,,,,,,,,,,,,,,,
,Strike,1.44,1.48,1.64,1.86,2.06,2.22,2.36,2.46,2.55,2.63,2.77,2.9,2.93,2.87,2.82,,,,,,,,,,,,,,,,,
6Mo,Vol,62.36,61.56,55.57,50.77,47.74,45.8,44.74,44.21,44.07,44.02,42.65,40.88,41.58,43.29,45,,,,,,,,,,,,,,,,,
,Strike,1.37,1.5,1.7,1.93,2.13,2.29,2.41,2.52,2.6,2.68,2.81,2.93,2.95,2.89,2.83,,,,,,,,,,,,,,,,,
9Mo,Vol,62.33,59.34,53.19,48.59,45.81,44.04,43.07,42.59,42.38,42.29,41.04,39.47,40.39,42.04,43.55,,,,,,,,,,,,,,,,,
,Strike,1.38,1.56,1.79,2.02,2.21,2.36,2.48,2.57,2.66,2.73,2.86,2.96,2.97,2.9,2.84,,,,,,,,,,,,,,,,,
1Yr,Vol,62.11,56.93,50.66,46.32,43.81,42.23,41.35,40.93,40.66,40.52,39.41,38.04,39.19,40.78,42.07,,,,,,,,,,,,,,,,,
,Strike,1.41,1.63,1.88,2.12,2.3,2.44,2.55,2.64,2.72,2.79,2.91,2.99,2.99,2.92,2.86,,,,,,,,,,,,,,,,,
2Yr,Vol,54.13,45.57,41.34,38.59,37.17,36.28,35.73,35.28,34.92,34.61,33.71,33.07,33.93,35.27,36.24,,,,,,,,,,,,,,,,,
,Strike,1.84,2.13,2.36,2.53,2.66,2.76,2.83,2.91,2.96,3.02,3.1,3.13,3.08,2.99,2.93,,,,,,,,,,,,,,,,,
3Yr,Vol,42.5,38.18,35.8,34.03,33,32.36,31.8,31.41,31.06,30.79,30.11,29.63,30.49,31.72,32.58,,,,,,,,,,,,,,,,,
,Strike,2.42,2.63,2.77,2.88,2.96,3.01,3.08,3.12,3.17,3.21,3.27,3.23,3.15,3.04,2.97,,,,,,,,,,,,,,,,,
4Yr,Vol,36.15,33.53,32.1,31.01,30.1,29.68,29.24,28.95,28.77,28.7,28.25,27.81,28.44,29.67,30.46,,,,,,,,,,,,,,,,,
,Strike,2.84,2.96,3.04,3.1,3.14,3.2,3.23,3.28,3.31,3.33,3.34,3.3,3.17,3.06,2.99,,,,,,,,,,,,,,,,,
5Yr,Vol,31.54,30.37,29.41,28.57,27.71,27.31,26.92,26.77,26.68,26.73,26.6,26.3,26.86,27.79,28.22,,,,,,,,,,,,,,,,,
,Strike,3.07,3.15,3.19,3.22,3.28,3.31,3.35,3.38,3.4,3.42,3.37,3.32,3.17,3.05,2.98,,,,,,,,,,,,,,,,,
6Yr,Vol,29.1,28.2,27.55,26.64,25.97,25.56,25.38,25.34,25.26,25.53,25.43,25.3,25.83,26.62,26.89,,,,,,,,,,,,,,,,,
,Strike,3.23,3.26,3.28,3.33,3.36,3.41,3.43,3.45,3.47,3.43,3.38,3.3,3.15,3.04,2.98,,,,,,,,,,,,,,,,,
7Yr,Vol,27.25,26.36,25.65,24.93,24.21,23.99,23.92,23.97,24.17,24.41,24.36,24.38,24.86,25.5,25.6,,,,,,,,,,,,,,,,,
,Strike,3.28,3.3,3.37,3.4,3.45,3.46,3.48,3.5,3.46,3.43,3.38,3.27,3.11,3.01,2.97,,,,,,,,,,,,,,,,,
8Yr,Vol,25.66,24.85,24.4,23.77,23.42,23.22,23.16,23.51,23.79,24.12,24.01,24.06,24.48,24.95,24.9,,,,,,,,,,,,,,,,,
,Strike,3.32,3.41,3.43,3.49,3.5,3.52,3.54,3.48,3.45,3.41,3.36,3.23,3.07,2.97,2.95,,,,,,,,,,,,,,,,,
9Yr,Vol,23.43,23.48,22.97,22.75,22.61,22.43,22.7,23.07,23.44,23.84,23.8,23.76,24.13,24.42,24.22,,,,,,,,,,,,,,,,,
,Strike,3.51,3.5,3.55,3.55,3.56,3.58,3.51,3.46,3.42,3.39,3.31,3.19,3.03,2.94,2.93,,,,,,,,,,,,,,,,,
10Yr,Vol,22.14,22.13,21.93,21.88,21.93,22.12,22.37,22.76,23.21,23.67,23.7,23.56,23.84,23.96,23.59,,,,,,,,,,,,,,,,,
,Strike,3.48,3.57,3.57,3.58,3.59,3.51,3.46,3.41,3.38,3.35,3.24,3.12,2.97,2.89,2.9,,,,,,,,,,,,,,,,,
12Yr,Vol,21.26,21.83,21.85,22.34,22.82,23.04,23.28,23.59,24.05,24.53,24.37,24,23.83,23.63,23.07,,,,,,,,,,,,,,,,,
,Strike,3.56,3.58,3.6,3.48,3.4,3.35,3.31,3.28,3.22,3.16,3.07,2.96,2.85,2.82,2.83,,,,,,,,,,,,,,,,,
15Yr,Vol,21.7,22.96,23.46,23.93,24.35,24.82,25.24,25.56,25.79,26.03,25.57,24.81,23.91,23.19,22.35,,,,,,,,,,,,,,,,,
,Strike,3.08,3.08,3.07,3.07,3.07,3,2.94,2.9,2.86,2.83,2.77,2.7,2.64,2.7,2.71,,,,,,,,,,,,,,,,,
20Yr,Vol,25.36,26.95,27.27,27.32,27.44,27.81,28.04,28.19,28.38,28.46,27.15,25.23,23.09,21.93,21.06,,,,,,,,,,,,,,,,,
,Strike,2.61,2.59,2.58,2.56,2.55,2.53,2.52,2.5,2.49,2.47,2.47,2.46,2.57,2.61,2.69,,,,,,,,,,,,,,,,,
25Yr,Vol,27.07,28.38,28.28,28.08,27.8,27.71,27.66,27.51,27.38,27.26,25.53,23.12,20.93,19.89,19.17,,,,,,,,,,,,,,,,,
,Strike,2.44,2.43,2.41,2.4,2.39,2.4,2.41,2.41,2.42,2.41,2.5,2.59,2.63,2.73,2.58,,,,,,,,,,,,,,,,,
30Yr,Vol,25.31,24.9,24.53,24.21,23.91,23.79,23.67,23.57,23.52,23.5,22.12,20.09,18.43,17.7,17,,,,,,,,,,,,,,,,,
,Strike,2.48,2.47,2.46,2.45,2.44,2.53,2.6,2.65,2.68,2.7,2.72,2.73,2.84,2.64,2.49,,,,,,,,,,,,,,,,,
########,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SwaptionVol,ATM,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expiry,,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr,,,,,,,,,,,,,,,,,
1Mo,Vol,56.21,67.61,66.13,61.83,58.52,55,52.78,51.28,50.36,49.71,48.31,46.64,47.82,49.86,51.8,,,,,,,,,,,,,,,,,
,Strike,1.44,1.39,1.52,1.72,1.92,2.09,2.23,2.34,2.42,2.51,2.65,2.78,2.82,2.76,2.71,,,,,,,,,,,,,,,,,
3Mo,Vol,55.88,64.08,60.46,55.94,52.8,50.15,48.52,47.6,47.07,46.73,45.13,43.06,43.51,45.18,46.84,,,,,,,,,,,,,,,,,
,Strike,1.34,1.38,1.54,1.76,1.96,2.12,2.26,2.36,2.45,2.53,2.67,2.8,2.83,2.77,2.72,,,,,,,,,,,,,,,,,
6Mo,Vol,63.51,62.59,56.38,51.43,48.3,46.3,45.21,44.64,44.48,44.43,43.03,41.22,41.92,43.66,45.4,,,,,,,,,,,,,,,,,
,Strike,1.27,1.4,1.6,1.83,2.03,2.19,2.31,2.42,2.5,2.58,2.71,2.83,2.85,2.79,2.73,,,,,,,,,,,,,,,,,
9Mo,Vol,63.47,60.3,53.94,49.19,46.33,44.51,43.5,43,42.78,42.67,41.41,39.8,40.73,42.4,43.93,,,,,,,,,,,,,,,,,
,Strike,1.28,1.46,1.69,1.92,2.11,2.26,2.38,2.47,2.56,2.63,2.76,2.86,2.87,2.8,2.74,,,,,,,,,,,,,,,,,
1Yr,Vol,63.23,57.82,51.34,46.87,44.29,42.67,41.75,41.32,41.04,40.88,39.75,38.36,39.51,41.12,42.43,,,,,,,,,,,,,,,,,
,Strike,1.31,1.53,1.78,2.02,2.2,2.34,2.45,2.54,2.62,2.69,2.81,2.89,2.89,2.82,2.76,,,,,,,,,,,,,,,,,
2Yr,Vol,56.63,47.43,42.86,39.91,38.38,37.42,36.82,36.32,35.93,35.59,34.61,33.98,34.87,36.28,37.31,,,,,,,,,,,,,,,,,
,Strike,1.74,2.03,2.26,2.43,2.56,2.66,2.73,2.81,2.86,2.92,3,3.03,2.98,2.89,2.83,,,,,,,,,,,,,,,,,
3Yr,Vol,43.58,39.08,36.6,34.76,33.69,33.03,32.44,32.03,31.67,31.39,30.62,30.2,31.09,32.36,33.26,,,,,,,,,,,,,,,,,
,Strike,2.32,2.53,2.67,2.78,2.86,2.91,2.98,3.02,3.07,3.11,3.17,3.13,3.05,2.94,2.87,,,,,,,,,,,,,,,,,
4Yr,Vol,36.81,34.12,32.65,31.54,30.6,30.17,29.71,29.4,29.23,29.15,28.7,28.24,28.91,30.18,30.99,,,,,,,,,,,,,,,,,
,Strike,2.74,2.86,2.94,3,3.04,3.1,3.13,3.18,3.21,3.23,3.24,3.2,3.07,2.96,2.89,,,,,,,,,,,,,,,,,
5Yr,Vol,32.19,30.98,29.99,29.13,28.24,27.84,27.43,27.28,27.17,27.22,27.09,26.8,27.39,28.36,28.83,,,,,,,,,,,,,,,,,
,Strike,2.97,3.05,3.09,3.12,3.18,3.21,3.25,3.28,3.3,3.32,3.27,3.22,3.07,2.95,2.88,,,,,,,,,,,,,,,,,
6Yr,Vol,29.64,28.72,28.04,27.11,26.42,26,25.82,25.77,25.69,25.97,25.88,25.75,26.31,27.13,27.42,,,,,,,,,,,,,,,,,
,Strike,3.13,3.16,3.18,3.23,3.26,3.31,3.33,3.35,3.37,3.33,3.28,3.2,3.05,2.94,2.88,,,,,,,,,,,,,,,,,
7Yr,Vol,27.69,26.79,26.05,25.32,24.59,24.36,24.28,24.33,24.53,24.79,24.74,24.77,25.29,25.95,26.05,,,,,,,,,,,,,,,,,
,Strike,3.18,3.2,3.27,3.3,3.35,3.36,3.38,3.4,3.36,3.33,3.28,3.17,3.01,2.91,2.87,,,,,,,,,,,,,,,,,
8Yr,Vol,26.09,25.26,24.8,24.16,23.79,23.6,23.54,23.9,24.18,24.52,24.42,24.48,24.94,25.43,25.38,,,,,,,,,,,,,,,,,
,Strike,3.22,3.31,3.33,3.39,3.4,3.42,3.44,3.38,3.35,3.31,3.26,3.13,2.97,2.87,2.85,,,,,,,,,,,,,,,,,
9Yr,Vol,23.84,23.89,23.37,23.14,23,22.82,23.09,23.48,23.86,24.27,24.23,24.22,24.61,24.93,24.72,,,,,,,,,,,,,,,,,
,Strike,3.41,3.4,3.45,3.45,3.46,3.48,3.41,3.36,3.32,3.29,3.21,3.09,2.93,2.84,2.83,,,,,,,,,,,,,,,,,
10Yr,Vol,22.55,22.52,22.32,22.27,22.32,22.53,22.78,23.19,23.64,24.13,24.17,24.04,24.36,24.49,24.11,,,,,,,,,,,,,,,,,
,Strike,3.38,3.47,3.47,3.48,3.49,3.41,3.36,3.31,3.28,3.25,3.14,3.02,2.87,2.79,2.8,,,,,,,,,,,,,,,,,
12Yr,Vol,21.5,22.09,22.09,22.69,23.15,23.39,23.65,23.96,24.44,24.92,24.77,24.41,24.25,24.05,23.48,,,,,,,,,,,,,,,,,
,Strike,3.46,3.48,3.5,3.38,3.3,3.25,3.21,3.18,3.12,3.06,2.97,2.86,2.75,2.72,2.73,,,,,,,,,,,,,,,,,
15Yr,Vol,21.91,23.19,23.69,24.17,24.59,25.07,25.5,25.83,26.06,26.31,25.84,25.09,24.18,23.45,22.6,,,,,,,,,,,,,,,,,
,Strike,2.98,2.98,2.97,2.97,2.97,2.9,2.84,2.8,2.76,2.73,2.67,2.6,2.54,2.6,2.61,,,,,,,,,,,,,,,,,
20Yr,Vol,25.64,27.25,27.58,27.63,27.76,28.14,28.36,28.51,28.72,28.79,27.47,25.52,23.36,22.17,21.29,,,,,,,,,,,,,,,,,
,Strike,2.51,2.49,2.48,2.46,2.45,2.43,2.42,2.4,2.39,2.37,2.37,2.36,2.47,2.51,2.59,,,,,,,,,,,,,,,,,
25Yr,Vol,27.39,28.72,28.62,28.42,28.15,28.04,27.99,27.84,27.72,27.59,25.84,23.38,21.17,20.11,19.38,,,,,,,,,,,,,,,,,
,Strike,2.34,2.33,2.31,2.3,2.29,2.3,2.31,2.31,2.32,2.31,2.4,2.49,2.53,2.63,2.48,,,,,,,,,,,,,,,,,
30Yr,Vol,25.61,25.2,24.82,24.49,24.19,24.06,23.93,23.83,23.78,23.75,22.36,20.31,18.62,17.9,17.2,,,,,,,,,,,,,,,,,
,Strike,2.38,2.37,2.36,2.35,2.34,2.43,2.5,2.55,2.58,2.6,2.62,2.63,2.74,2.54,2.39,,,,,,,,,,,,,,,,,
#########,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skew,scale,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr,,,,,,,,,,,,,,,,,,
1Mo,-12.6,-16.2,-14.6,-12.1,-10.4,-9,-8.1,-7.6,-7.2,-6.7,-6.3,-5.8,-5.9,-6.2,-6.5,,,,,,,,,,,,,,,,,,
3Mo,-10.7,-12.6,-10.7,-8.8,-7.5,-6.5,-5.9,-5.5,-5.4,-5.1,-4.8,-4.2,-4.2,-4.6,-4.8,,,,,,,,,,,,,,,,,,
6Mo,-11.5,-10.3,-8.1,-6.6,-5.6,-5,-4.7,-4.3,-4.1,-4.1,-3.8,-3.4,-3.4,-3.7,-4,,,,,,,,,,,,,,,,,,
9Mo,-11.4,-9.6,-7.5,-6,-5.2,-4.7,-4.3,-4.1,-4,-3.8,-3.7,-3.3,-3.4,-3.6,-3.8,,,,,,,,,,,,,,,,,,
1Yr,-11.2,-8.9,-6.8,-5.5,-4.8,-4.4,-4,-3.9,-3.8,-3.6,-3.4,-3.2,-3.2,-3.4,-3.6,,,,,,,,,,,,,,,,,,
2Yr,-25,-18.6,-15.2,-13.2,-12.1,-11.4,-10.9,-10.4,-10.1,-9.8,-9,-9.1,-9.4,-10.1,-10.7,,,,,,,,,,,,,,,,,,
3Yr,-10.8,-9,-8,-7.3,-6.9,-6.7,-6.4,-6.2,-6.1,-6,-5.1,-5.7,-6,-6.4,-6.8,,,,,,,,,,,,,,,,,,
4Yr,-6.6,-5.9,-5.5,-5.3,-5,-4.9,-4.7,-4.5,-4.6,-4.5,-4.5,-4.3,-4.7,-5.1,-5.3,,,,,,,,,,,,,,,,,,
5Yr,-6.5,-6.1,-5.8,-5.6,-5.3,-5.3,-5.1,-5.1,-4.9,-4.9,-4.9,-5,-5.3,-5.7,-6.1,,,,,,,,,,,,,,,,,,
6Yr,-5.4,-5.2,-4.9,-4.7,-4.5,-4.4,-4.4,-4.3,-4.3,-4.4,-4.5,-4.5,-4.8,-5.1,-5.3,,,,,,,,,,,,,,,,,,
7Yr,-4.4,-4.3,-4,-3.9,-3.8,-3.7,-3.6,-3.6,-3.6,-3.8,-3.8,-3.9,-4.3,-4.5,-4.5,,,,,,,,,,,,,,,,,,
8Yr,-4.3,-4.1,-4,-3.9,-3.7,-3.8,-3.8,-3.9,-3.9,-4,-4.1,-4.2,-4.6,-4.8,-4.8,,,,,,,,,,,,,,,,,,
9Yr,-4.1,-4.1,-4,-3.9,-3.9,-3.9,-3.9,-4.1,-4.2,-4.3,-4.3,-4.6,-4.8,-5.1,-5,,,,,,,,,,,,,,,,,,
10Yr,-4.1,-3.9,-3.9,-3.9,-3.9,-4.1,-4.1,-4.3,-4.3,-4.6,-4.7,-4.8,-5.2,-5.3,-5.2,,,,,,,,,,,,,,,,,,
12Yr,-2.4,-2.6,-2.4,-3.5,-3.3,-3.5,-3.7,-3.7,-3.9,-3.9,-4,-4.1,-4.2,-4.2,-4.1,,,,,,,,,,,,,,,,,,
15Yr,-2.1,-2.3,-2.3,-2.4,-2.4,-2.5,-2.6,-2.7,-2.7,-2.8,-2.7,-2.8,-2.7,-2.6,-2.5,,,,,,,,,,,,,,,,,,
20Yr,-2.8,-3,-3.1,-3.1,-3.2,-3.3,-3.2,-3.2,-3.4,-3.3,-3.2,-2.9,-2.7,-2.4,-2.3,,,,,,,,,,,,,,,,,,
25Yr,-3.2,-3.4,-3.4,-3.4,-3.5,-3.3,-3.3,-3.3,-3.4,-3.3,-3.1,-2.6,-2.4,-2.2,-2.1,,,,,,,,,,,,,,,,,,
30Yr,-3,-3,-2.9,-2.8,-2.8,-2.7,-2.6,-2.6,-2.6,-2.5,-2.4,-2.2,-1.9,-2,-2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
