Info,,LIBOR 6M,,Vol Black,,,,Year,Month,Date,,,,,,,,,,,,,,,,,,,,,,,
,,EUR,Mid,,EUR BVOL CUB,,,2004,4,7,,,,,,,,,,,,,,,,,,,,,,,
,Strike,2.78,3.15,3.45,3.69,3.9,4.09,4.25,4.38,4.48,4.56,4.7,4.87,5.02,5.08,5.1,,,,,,,,,,,,,,,,,
2Yr,Vol,17.56,21.35,19.55,18.25,17,16.05,15.25,14.7,14.2,13.7,13.08,12.2,11.2,10.8,10.6,,,,,,,,,,,,,,,,,
,Strike,3.54,3.8,4.02,4.21,4.39,4.53,4.64,4.73,4.8,4.87,4.99,5.11,5.22,5.25,5.26,,,,,,,,,,,,,,,,,
3Yr,Vol,11.77,18.15,17.05,16.05,15.05,14.35,13.85,13.45,13.1,12.8,12.34,11.7,10.9,10.6,10.2,,,,,,,,,,,,,,,,,
,Strike,4.07,4.27,4.45,4.63,4.76,4.86,4.94,4.99,5.05,5.11,5.2,5.3,5.37,5.38,5.37,,,,,,,,,,,,,,,,,
4Yr,Vol,9.17,16.25,15.4,14.55,13.65,13.2,12.8,12.5,12.3,12.05,11.7,11.2,10.5,10.1,9.8,,,,,,,,,,,,,,,,,
,Strike,4.48,4.65,4.83,4.95,5.04,5.11,5.15,5.21,5.26,5.3,5.37,5.44,5.48,5.47,5.46,,,,,,,,,,,,,,,,,
5Yr,Vol,7.47,14.8,14.05,13.35,12.55,12.2,11.9,11.75,11.6,11.45,11.14,10.7,10.1,9.7,9.5,,,,,,,,,,,,,,,,,
,Strike,4.84,5.02,5.13,5.2,5.25,5.28,5.33,5.38,5.42,5.45,5.51,5.55,5.56,5.54,5.52,,,,,,,,,,,,,,,,,
6Yr,Vol,6.42,13.67,13.09,12.52,11.86,11.56,11.31,11.19,11.07,10.94,10.65,10.24,9.74,9.39,9.14,,,,,,,,,,,,,,,,,
,Strike,5.2,5.28,5.33,5.37,5.39,5.43,5.47,5.51,5.54,5.57,5.61,5.63,5.62,5.59,5.57,,,,,,,,,,,,,,,,,
7Yr,Vol,5.43,12.65,12.2,11.75,11.2,10.95,10.75,10.65,10.55,10.45,10.19,9.8,9.4,9.1,8.8,,,,,,,,,,,,,,,,,
,Strike,5.36,5.4,5.43,5.44,5.48,5.53,5.56,5.59,5.62,5.64,5.67,5.68,5.65,5.62,5.58,,,,,,,,,,,,,,,,,
8Yr,Vol,5.02,12.04,11.66,11.25,10.77,10.54,10.36,10.27,10.19,10.11,9.89,9.56,9.16,8.86,8.6,,,,,,,,,,,,,,,,,
,Strike,5.44,5.47,5.47,5.52,5.57,5.61,5.63,5.66,5.69,5.7,5.71,5.71,5.67,5.63,5.59,,,,,,,,,,,,,,,,,
9Yr,Vol,4.62,11.47,11.12,10.75,10.36,10.15,9.98,9.91,9.84,9.78,9.59,9.33,8.93,8.63,8.4,,,,,,,,,,,,,,,,,
,Strike,5.5,5.49,5.55,5.6,5.64,5.67,5.7,5.72,5.73,5.74,5.74,5.73,5.68,5.64,5.59,,,,,,,,,,,,,,,,,
10Yr,Vol,4.24,10.85,10.55,10.25,9.95,9.75,9.6,9.55,9.5,9.45,9.3,9.1,8.7,8.4,8.2,,,,,,,,,,,,,,,,,
,Strike,5.47,5.57,5.64,5.68,5.71,5.74,5.76,5.77,5.78,5.77,5.77,5.74,5.67,5.64,5.58,,,,,,,,,,,,,,,,,
12Yr,Vol,3.68,10.12,9.96,9.73,9.51,9.28,9.2,9.17,9.14,9.11,9,8.83,8.44,8.18,8.02,,,,,,,,,,,,,,,,,
,Strike,5.8,5.81,5.82,5.85,5.86,5.86,5.85,5.84,5.84,5.83,5.8,5.75,5.68,5.62,5.57,,,,,,,,,,,,,,,,,
15Yr,Vol,2.94,9.2,9.2,9.1,9,8.7,8.7,8.7,8.7,8.7,8.62,8.5,8.1,7.9,7.8,,,,,,,,,,,,,,,,,
,Strike,5.95,5.92,5.9,5.88,5.86,5.85,5.83,5.81,5.79,5.76,5.72,5.65,5.61,5.52,5.49,,,,,,,,,,,,,,,,,
20Yr,Vol,2.61,8.8,8.6,8.5,8.4,8.3,8.3,8.3,8.4,8.4,8.23,8,7.7,7.5,7.4,,,,,,,,,,,,,,,,,
,Strike,5.79,5.75,5.71,5.67,5.64,5.62,5.59,5.56,5.53,5.5,5.5,5.47,5.36,5.34,5.29,,,,,,,,,,,,,,,,,
25Yr,Vol,2.56,9,9,8.9,8.7,8.6,8.6,8.5,8.5,8.4,8.2,7.9,7.7,7.5,7.4,,,,,,,,,,,,,,,,,
,Strike,5.5,5.46,5.42,5.37,5.33,5.36,5.38,5.37,5.36,5.34,5.3,5.21,5.2,5.16,4.85,,,,,,,,,,,,,,,,,
30Yr,Vol,2.32,8.9,8.7,8.7,8.6,8.3,8.3,8.3,8.2,8.1,7.92,7.7,7.5,7.4,7.4,,,,,,,,,,,,,,,,,
,Strike,5.56,5.52,5.46,5.41,5.36,5.31,5.26,5.22,5.17,5.13,5.16,5.14,5.08,4.66,4.34,,,,,,,,,,,,,,,,,
#######,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SwaptionVol,ATM,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expiry,,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr,,,,,,,,,,,,,,,,,
1Mo,Vol,28.99,30.96,27.93,25.12,23.13,20.88,19.06,17.69,16.51,15.48,14.32,12.77,11.39,10.5,9.91,,,,,,,,,,,,,,,,,
,Strike,2.18,2.54,2.89,3.19,3.44,3.67,3.87,4.03,4.16,4.27,4.45,4.65,4.85,4.94,4.97,,,,,,,,,,,,,,,,,
3Mo,Vol,29.55,30.07,26.92,24.49,22.63,20.62,18.94,17.71,16.63,15.74,14.58,13.02,11.63,10.84,10.24,,,,,,,,,,,,,,,,,
,Strike,2.25,2.63,2.99,3.28,3.53,3.75,3.94,4.1,4.23,4.33,4.5,4.7,4.89,4.97,5,,,,,,,,,,,,,,,,,
6Mo,Vol,29.85,28.53,25.61,23.29,21.56,19.73,18.3,17.16,16.22,15.38,14.49,13.16,11.78,11.09,10.59,,,,,,,,,,,,,,,,,
,Strike,2.41,2.82,3.16,3.44,3.67,3.88,4.06,4.21,4.33,4.43,4.59,4.77,4.95,5.03,5.05,,,,,,,,,,,,,,,,,
9Mo,Vol,29.46,27.08,24.34,22.22,20.6,18.97,17.66,16.65,15.81,15.07,14.21,12.98,11.74,11.15,10.76,,,,,,,,,,,,,,,,,
,Strike,2.62,3.01,3.33,3.59,3.81,4.01,4.18,4.32,4.43,4.52,4.67,4.85,5.01,5.08,5.1,,,,,,,,,,,,,,,,,
1Yr,Vol,29.08,25.65,23.09,21.18,19.66,18.23,17.05,16.16,15.42,14.78,13.94,12.8,11.71,11.22,10.92,,,,,,,,,,,,,,,,,
,Strike,2.83,3.2,3.5,3.74,3.95,4.14,4.3,4.43,4.53,4.61,4.75,4.92,5.07,5.13,5.15,,,,,,,,,,,,,,,,,
2Yr,Vol,17.47,21.24,19.45,18.17,16.92,15.98,15.19,14.64,14.14,13.65,13.03,12.15,11.16,10.76,10.56,,,,,,,,,,,,,,,,,
,Strike,3.59,3.85,4.07,4.26,4.44,4.58,4.69,4.78,4.85,4.92,5.04,5.16,5.27,5.3,5.31,,,,,,,,,,,,,,,,,
3Yr,Vol,11.7,18.04,16.96,15.96,14.97,14.28,13.78,13.38,13.04,12.74,12.28,11.65,10.85,10.55,10.15,,,,,,,,,,,,,,,,,
,Strike,4.12,4.32,4.5,4.68,4.81,4.91,4.99,5.04,5.1,5.16,5.25,5.35,5.42,5.43,5.42,,,,,,,,,,,,,,,,,
4Yr,Vol,9.15,16.21,15.36,14.52,13.62,13.17,12.77,12.47,12.27,12.02,11.68,11.18,10.48,10.08,9.78,,,,,,,,,,,,,,,,,
,Strike,4.53,4.7,4.88,5,5.09,5.16,5.2,5.26,5.31,5.35,5.42,5.49,5.53,5.52,5.51,,,,,,,,,,,,,,,,,
5Yr,Vol,7.45,14.75,14.01,13.31,12.51,12.16,11.86,11.72,11.57,11.42,11.11,10.67,10.07,9.67,9.47,,,,,,,,,,,,,,,,,
,Strike,4.89,5.07,5.18,5.25,5.3,5.33,5.38,5.43,5.47,5.5,5.56,5.6,5.61,5.59,5.57,,,,,,,,,,,,,,,,,
6Yr,Vol,6.4,13.64,13.05,12.49,11.83,11.53,11.28,11.16,11.04,10.91,10.63,10.22,9.72,9.37,9.12,,,,,,,,,,,,,,,,,
,Strike,5.25,5.33,5.38,5.42,5.44,5.48,5.52,5.56,5.59,5.62,5.66,5.68,5.67,5.64,5.62,,,,,,,,,,,,,,,,,
7Yr,Vol,5.42,12.62,12.17,11.72,11.18,10.93,10.73,10.63,10.53,10.43,10.16,9.78,9.38,9.08,8.78,,,,,,,,,,,,,,,,,
,Strike,5.41,5.45,5.48,5.49,5.53,5.58,5.61,5.64,5.67,5.69,5.72,5.73,5.7,5.67,5.63,,,,,,,,,,,,,,,,,
8Yr,Vol,5.01,12.01,11.63,11.22,10.75,10.52,10.34,10.25,10.17,10.08,9.86,9.54,9.14,8.84,8.57,,,,,,,,,,,,,,,,,
,Strike,5.49,5.52,5.52,5.57,5.62,5.66,5.68,5.71,5.74,5.75,5.76,5.76,5.72,5.68,5.64,,,,,,,,,,,,,,,,,
9Yr,Vol,4.61,11.43,11.08,10.72,10.33,10.12,9.95,9.88,9.82,9.75,9.57,9.3,8.9,8.6,8.37,,,,,,,,,,,,,,,,,
,Strike,5.55,5.54,5.6,5.65,5.69,5.72,5.75,5.77,5.78,5.79,5.79,5.78,5.73,5.69,5.64,,,,,,,,,,,,,,,,,
10Yr,Vol,4.23,10.81,10.52,10.22,9.92,9.72,9.57,9.52,9.47,9.42,9.27,9.07,8.67,8.37,8.17,,,,,,,,,,,,,,,,,
,Strike,5.52,5.62,5.69,5.73,5.76,5.79,5.81,5.82,5.83,5.82,5.82,5.79,5.72,5.69,5.63,,,,,,,,,,,,,,,,,
12Yr,Vol,3.67,10.08,9.92,9.69,9.47,9.25,9.17,9.14,9.11,9.08,8.97,8.8,8.41,8.15,7.99,,,,,,,,,,,,,,,,,
,Strike,5.85,5.86,5.87,5.9,5.91,5.91,5.9,5.89,5.89,5.88,5.85,5.8,5.73,5.67,5.62,,,,,,,,,,,,,,,,,
15Yr,Vol,2.93,9.16,9.16,9.06,8.96,8.66,8.66,8.66,8.66,8.66,8.58,8.46,8.06,7.86,7.76,,,,,,,,,,,,,,,,,
,Strike,6,5.97,5.95,5.93,5.91,5.9,5.88,5.86,5.84,5.81,5.77,5.7,5.66,5.57,5.54,,,,,,,,,,,,,,,,,
20Yr,Vol,2.6,8.76,8.56,8.46,8.36,8.26,8.26,8.26,8.36,8.36,8.19,7.96,7.67,7.47,7.37,,,,,,,,,,,,,,,,,
,Strike,5.84,5.8,5.76,5.72,5.69,5.67,5.64,5.61,5.58,5.55,5.55,5.52,5.41,5.39,5.34,,,,,,,,,,,,,,,,,
25Yr,Vol,2.55,8.96,8.96,8.86,8.66,8.56,8.56,8.46,8.46,8.36,8.16,7.86,7.66,7.46,7.36,,,,,,,,,,,,,,,,,
,Strike,5.55,5.51,5.47,5.42,5.38,5.41,5.43,5.42,5.41,5.39,5.35,5.26,5.25,5.21,4.9,,,,,,,,,,,,,,,,,
30Yr,Vol,2.31,8.86,8.66,8.66,8.56,8.26,8.26,8.26,8.16,8.06,7.89,7.66,7.46,7.36,7.36,,,,,,,,,,,,,,,,,
,Strike,5.61,5.57,5.51,5.46,5.41,5.36,5.31,5.27,5.22,5.18,5.21,5.19,5.13,4.71,4.39,,,,,,,,,,,,,,,,,
########,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SwaptionVol,ATM,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expiry,,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr,,,,,,,,,,,,,,,,,
1Mo,Vol,30.14,32.12,28.87,25.88,23.77,21.42,19.54,18.11,16.89,15.82,14.63,13.03,11.61,10.7,10.09,,,,,,,,,,,,,,,,,
,Strike,2.08,2.44,2.79,3.09,3.34,3.57,3.77,3.93,4.06,4.17,4.35,4.55,4.75,4.84,4.87,,,,,,,,,,,,,,,,,
3Mo,Vol,30.29,30.83,27.51,24.96,23.03,20.96,19.24,17.97,16.86,15.95,14.8,13.18,11.77,10.96,10.36,,,,,,,,,,,,,,,,,
,Strike,2.15,2.53,2.89,3.18,3.43,3.65,3.84,4,4.13,4.23,4.4,4.6,4.79,4.87,4.9,,,,,,,,,,,,,,,,,
6Mo,Vol,30.82,29.36,26.31,23.89,22.1,20.21,18.73,17.56,16.59,15.73,14.73,13.44,12.02,11.31,10.81,,,,,,,,,,,,,,,,,
,Strike,2.31,2.72,3.06,3.34,3.57,3.78,3.96,4.11,4.23,4.33,4.49,4.67,4.85,4.93,4.95,,,,,,,,,,,,,,,,,
9Mo,Vol,30.39,27.82,24.96,22.75,21.06,19.38,18.03,16.99,16.13,15.37,14.44,13.22,11.95,11.35,10.94,,,,,,,,,,,,,,,,,
,Strike,2.52,2.91,3.23,3.49,3.71,3.91,4.08,4.22,4.33,4.42,4.57,4.75,4.91,4.98,5,,,,,,,,,,,,,,,,,
1Yr,Vol,29.82,26.26,23.61,21.62,20.04,18.57,17.35,16.44,15.68,15.02,14.16,13,11.89,11.38,11.08,,,,,,,,,,,,,,,,,
,Strike,2.73,3.1,3.4,3.64,3.85,4.04,4.2,4.33,4.43,4.51,4.65,4.82,4.97,5.03,5.05,,,,,,,,,,,,,,,,,
2Yr,Vol,17.66,21.46,19.65,18.33,17.08,16.12,15.31,14.76,14.26,13.75,13.13,12.25,11.24,10.84,10.64,,,,,,,,,,,,,,,,,
,Strike,3.49,3.75,3.97,4.16,4.34,4.48,4.59,4.68,4.75,4.82,4.94,5.06,5.17,5.2,5.21,,,,,,,,,,,,,,,,,
3Yr,Vol,11.84,18.26,17.14,16.14,15.13,14.42,13.92,13.52,13.16,12.86,12.4,11.75,10.95,10.65,10.25,,,,,,,,,,,,,,,,,
,Strike,4.02,4.22,4.4,4.58,4.71,4.81,4.89,4.94,5,5.06,5.15,5.25,5.32,5.33,5.32,,,,,,,,,,,,,,,,,
4Yr,Vol,9.2,16.29,15.44,14.58,13.68,13.23,12.83,12.53,12.33,12.08,11.73,11.22,10.52,10.12,9.82,,,,,,,,,,,,,,,,,
,Strike,4.43,4.6,4.78,4.9,4.99,5.06,5.1,5.16,5.21,5.25,5.32,5.39,5.43,5.42,5.41,,,,,,,,,,,,,,,,,
5Yr,Vol,7.49,14.85,14.09,13.39,12.59,12.24,11.94,11.78,11.63,11.48,11.17,10.73,10.13,9.73,9.53,,,,,,,,,,,,,,,,,
,Strike,4.79,4.97,5.08,5.15,5.2,5.23,5.28,5.33,5.37,5.4,5.46,5.5,5.51,5.49,5.47,,,,,,,,,,,,,,,,,
6Yr,Vol,6.43,13.71,13.12,12.55,11.89,11.59,11.34,11.21,11.09,10.97,10.68,10.27,9.77,9.42,9.17,,,,,,,,,,,,,,,,,
,Strike,5.15,5.23,5.28,5.32,5.34,5.38,5.42,5.46,5.49,5.52,5.56,5.58,5.57,5.54,5.52,,,,,,,,,,,,,,,,,
7Yr,Vol,5.44,12.68,12.23,11.78,11.22,10.97,10.77,10.67,10.57,10.47,10.21,9.82,9.42,9.12,8.82,,,,,,,,,,,,,,,,,
,Strike,5.31,5.35,5.38,5.39,5.43,5.48,5.51,5.54,5.57,5.59,5.62,5.63,5.6,5.57,5.53,,,,,,,,,,,,,,,,,
8Yr,Vol,5.03,12.07,11.69,11.28,10.8,10.57,10.39,10.3,10.22,10.13,9.91,9.58,9.18,8.88,8.62,,,,,,,,,,,,,,,,,
,Strike,5.39,5.42,5.42,5.47,5.52,5.56,5.58,5.61,5.64,5.65,5.66,5.66,5.62,5.58,5.54,,,,,,,,,,,,,,,,,
9Yr,Vol,4.63,11.5,11.15,10.78,10.39,10.18,10.01,9.94,9.87,9.8,9.62,9.35,8.95,8.65,8.42,,,,,,,,,,,,,,,,,
,Strike,5.45,5.44,5.5,5.55,5.59,5.62,5.65,5.67,5.68,5.69,5.69,5.68,5.63,5.59,5.54,,,,,,,,,,,,,,,,,
10Yr,Vol,4.25,10.89,10.58,10.28,9.98,9.78,9.63,9.58,9.53,9.48,9.33,9.13,8.73,8.43,8.23,,,,,,,,,,,,,,,,,
,Strike,5.42,5.52,5.59,5.63,5.66,5.69,5.71,5.72,5.73,5.72,5.72,5.69,5.62,5.59,5.53,,,,,,,,,,,,,,,,,
12Yr,Vol,3.7,10.15,10,9.77,9.54,9.32,9.23,9.21,9.18,9.15,9.03,8.86,8.47,8.21,8.05,,,,,,,,,,,,,,,,,
,Strike,5.75,5.76,5.77,5.8,5.81,5.81,5.8,5.79,5.79,5.78,5.75,5.7,5.63,5.57,5.52,,,,,,,,,,,,,,,,,
15Yr,Vol,2.95,9.24,9.24,9.14,9.04,8.74,8.74,8.74,8.74,8.74,8.65,8.54,8.14,7.94,7.84,,,,,,,,,,,,,,,,,
,Strike,5.9,5.87,5.85,5.83,5.81,5.8,5.78,5.76,5.74,5.71,5.67,5.6,5.56,5.47,5.44,,,,,,,,,,,,,,,,,
20Yr,Vol,2.62,8.84,8.64,8.54,8.44,8.34,8.34,8.34,8.44,8.44,8.26,8.04,7.73,7.53,7.43,,,,,,,,,,,,,,,,,
,Strike,5.74,5.7,5.66,5.62,5.59,5.57,5.54,5.51,5.48,5.45,5.45,5.42,5.31,5.29,5.24,,,,,,,,,,,,,,,,,
25Yr,Vol,2.57,9.04,9.04,8.94,8.74,8.64,8.64,8.54,8.54,8.44,8.23,7.94,7.74,7.54,7.44,,,,,,,,,,,,,,,,,
,Strike,5.45,5.41,5.37,5.32,5.28,5.31,5.33,5.32,5.31,5.29,5.25,5.16,5.15,5.11,4.8,,,,,,,,,,,,,,,,,
30Yr,Vol,2.33,8.94,8.74,8.74,8.64,8.34,8.34,8.34,8.24,8.14,7.96,7.74,7.54,7.44,7.44,,,,,,,,,,,,,,,,,
,Strike,5.51,5.47,5.41,5.36,5.31,5.26,5.21,5.17,5.12,5.08,5.11,5.09,5.03,4.61,4.29,,,,,,,,,,,,,,,,,
#########,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skew,scale,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr,,,,,,,,,,,,,,,,,,
1Mo,-11.5,-11.6,-9.4,-7.6,-6.4,-5.4,-4.8,-4.2,-3.8,-3.4,-3.1,-2.6,-2.2,-2,-1.8,,,,,,,,,,,,,,,,,,
3Mo,-7.4,-7.6,-5.9,-4.7,-4,-3.4,-3,-2.6,-2.3,-2.1,-2.2,-1.6,-1.4,-1.2,-1.2,,,,,,,,,,,,,,,,,,
6Mo,-9.7,-8.3,-7,-6,-5.4,-4.8,-4.3,-4,-3.7,-3.5,-2.4,-2.8,-2.4,-2.2,-2.2,,,,,,,,,,,,,,,,,,
9Mo,-9.3,-7.4,-6.2,-5.3,-4.6,-4.1,-3.7,-3.4,-3.2,-3,-2.3,-2.4,-2.1,-2,-1.8,,,,,,,,,,,,,,,,,,
1Yr,-7.4,-6.1,-5.2,-4.4,-3.8,-3.4,-3,-2.8,-2.6,-2.4,-2.2,-2,-1.8,-1.6,-1.6,,,,,,,,,,,,,,,,,,
2Yr,-1.9,-2.2,-2,-1.6,-1.6,-1.4,-1.2,-1.2,-1.2,-1,-1,-1,-0.8,-0.8,-0.8,,,,,,,,,,,,,,,,,,
3Yr,-1.4,-2.2,-1.8,-1.8,-1.6,-1.4,-1.4,-1.4,-1.2,-1.2,-1.2,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,
4Yr,-0.5,-0.8,-0.8,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.5,-0.4,-0.4,-0.4,-0.4,,,,,,,,,,,,,,,,,,
5Yr,-0.4,-1,-0.8,-0.8,-0.8,-0.8,-0.8,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,,,,,,,,,,,,,,,,,,
6Yr,-0.3,-0.7,-0.7,-0.6,-0.6,-0.6,-0.6,-0.5,-0.5,-0.6,-0.5,-0.5,-0.5,-0.5,-0.5,,,,,,,,,,,,,,,,,,
7Yr,-0.2,-0.6,-0.6,-0.6,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.5,-0.4,-0.4,-0.4,-0.4,,,,,,,,,,,,,,,,,,
8Yr,-0.2,-0.6,-0.6,-0.6,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.4,-0.4,-0.4,-0.5,,,,,,,,,,,,,,,,,,
9Yr,-0.2,-0.7,-0.7,-0.6,-0.6,-0.6,-0.6,-0.6,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,,,,,,,,,,,,,,,,,,
10Yr,-0.2,-0.8,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,,,,,,,,,,,,,,,,,,
12Yr,-0.3,-0.7,-0.8,-0.8,-0.7,-0.7,-0.6,-0.7,-0.7,-0.7,-0.6,-0.6,-0.6,-0.6,-0.6,,,,,,,,,,,,,,,,,,
15Yr,-0.2,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.7,-0.8,-0.8,-0.8,-0.8,,,,,,,,,,,,,,,,,,
20Yr,-0.2,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.7,-0.8,-0.6,-0.6,-0.6,,,,,,,,,,,,,,,,,,
25Yr,-0.2,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.7,-0.8,-0.8,-0.8,-0.8,,,,,,,,,,,,,,,,,,
30Yr,-0.2,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.7,-0.8,-0.8,-0.8,-0.8,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
