Info,,LIBOR 6M,,Vol Black,Aout-06-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EUR,Mid,,EUR BVOL CUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#######,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIBOR_DF,6 MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 MO,7 MO,8 MO,9 MO,10 MO,11 MO,1 YR,13 MO,14 MO,15 MO,16 MO,17 MO,18 MO,2 YR,3 YR,4 YR,5 YR,6 YR,7 YR,8 YR,9 YR,10 YR,11 YR,12 YR,15 YR,20 YR,25 YR,30 YR,35 YR,40 YR,45 YR,50 YR,,
0.99843,0.998188,0.997947,0.997703,0.997452,0.997221,0.996963,0.996723,0.996468,0.996188,0.995933,0.995654,0.995368,0.993471,0.988151,0.980324,0.969395,0.954952,0.937666,0.917813,0.896377,0.874002,0.851366,0.828512,0.763366,0.670816,0.59773,0.538075,0.483447,0.430762,0.388686,0.349474,,
#########,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SwaptionVol,ATM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expiry,,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr,,,,,,,,,,,,,,,,,
1Mo,Vol,48.68,46.99,50.1,52.28,50.95,46.7,43.14,40.33,38.18,36.44,33.42,28.97,27.33,26.96,27.46,,,,,,,,,,,,,,,,,
,Strike,0.3,0.33,0.41,0.51,0.64,0.78,0.93,1.08,1.22,1.34,1.55,1.76,1.94,2,2.01,,,,,,,,,,,,,,,,,
3Mo,Vol,51.71,44.85,49.1,50.61,50.46,46.09,43,40.78,38.7,37.05,34.09,29.75,27.95,27.46,28.05,,,,,,,,,,,,,,,,,
,Strike,0.3,0.35,0.43,0.54,0.68,0.82,0.98,1.12,1.26,1.38,1.58,1.79,1.96,2.01,2.03,,,,,,,,,,,,,,,,,
6Mo,Vol,49.65,45.72,48.58,50.48,49.43,45.77,42.43,40.17,38.33,36.72,33.87,29.79,27.72,27.37,27.81,,,,,,,,,,,,,,,,,
,Strike,0.31,0.38,0.47,0.59,0.73,0.89,1.04,1.19,1.32,1.44,1.63,1.82,1.98,2.03,2.05,,,,,,,,,,,,,,,,,
9Mo,Vol,51.49,49.85,51.91,52.29,50.57,46.58,43.18,40.74,38.81,37.15,34.23,30.15,28.13,27.68,27.93,,,,,,,,,,,,,,,,,
,Strike,0.33,0.41,0.51,0.64,0.79,0.95,1.1,1.25,1.38,1.49,1.68,1.86,2.01,2.06,2.07,,,,,,,,,,,,,,,,,
1Yr,Vol,53.37,54.08,55.34,54.13,51.74,47.41,43.94,41.31,39.29,37.57,34.6,30.51,28.54,27.99,28.05,,,,,,,,,,,,,,,,,
